"","x"
"1",2215
"2",1072
"3",112
"4",9
"5",36
"6",869
"7",2
"8",34
"9",495
"10",10
"11",77
"12",16
"13",7
"14",16
"15",25
"16",5
"17",1
"18",18
"19",1274
"20",3
"21",103
"22",51
"23",39
"24",26
"25",17
"26",31
"27",11
"28",3
"29",2
"30",48
"31",28
"32",1
"33",5
"34",1
"35",1
"36",1
"37",2
"38",1
"39",1
"40",2
"41",1
"42",1
"43",8
"44",1
"45",1
"46",3
"47",1
"48",2
"49",2
"50",1
"51",10
"52",2
"53",2
"54",1
"55",1
"56",5
"57",1
"58",1
"59",1
"60",6
"61",4
"62",1
"63",5
"64",1
"65",13
"66",10
"67",8
"68",1
"69",2
"70",1
"71",1
"72",1
"73",9
"74",3
"75",2
"76",2
"77",1
"78",62
"79",1
"80",90
"81",3
"82",40
"83",3
"84",16
"85",2
"86",1
"87",2
"88",1
"89",2
"90",1
"91",2
"92",34
"93",3
"94",3
"95",1
"96",59
"97",1
"98",2
"99",1
"100",1
"101",12
"102",1
"103",1
"104",1
"105",6
"106",1
"107",1
"108",6
"109",4
"110",88
"111",1
"112",1
"113",4
"114",3
"115",6
"116",9
"117",3
"118",2
"119",1
"120",3
"121",3
"122",2
"123",1
"124",1
"125",16
"126",166
"127",2
"128",2
"129",4
"130",1
"131",1
"132",135
"133",56
"134",4
"135",7
"136",60
"137",2
"138",3
"139",5
"140",18
"141",15
"142",659
"143",40
"144",1
"145",1
"146",1
"147",2
"148",79
"149",21
"150",10
"151",1
"152",1
"153",4
"154",2
"155",1
"156",1
"157",9
"158",2
"159",8
"160",12
"161",4
"162",3
"163",34
"164",1
"165",5
"166",3
"167",5
"168",1
"169",1
"170",1
"171",2
"172",1
"173",16
"174",76
"175",1
"176",1
"177",3
"178",6
"179",2
"180",4
"181",5
"182",2
"183",1
"184",35
"185",4
"186",34
"187",513
"188",11
"189",197
"190",1
"191",5
"192",10
"193",4
"194",5
"195",1
"196",1
"197",1
"198",1
"199",1
"200",27
"201",1
"202",2112
"203",161
"204",3
"205",87
"206",1
"207",2
"208",16
"209",1
"210",1
"211",14
"212",5
"213",1
"214",1
"215",22
"216",1
"217",1
"218",2
"219",20
"220",1
"221",1
"222",1
"223",1
"224",1
"225",2
"226",1
"227",1
"228",104
"229",7
"230",5
"231",7
"232",32
"233",16
"234",2
"235",2
"236",1
"237",1
"238",1
"239",7
