"","x"
"1",5099000
"2",4031406
"3",5079000
"4",5079000
"5",4011202
"6",4011201
"7",1031406
"8",2031406
"9",4011205
"10",5079000
"11",5079000
"12",5099000
"13",4012106
"14",1011106
"15",1069000
"16",1011206
"17",4012106
"18",1069000
"19",4011202
"20",1011206
"21",5099000
"22",5099000
"23",1011206
"24",1051306
"25",1031406
"26",1069000
"27",1069000
"28",1011206
"29",4041405
"30",4011205
"31",5099000
"32",1031406
"33",2031406
"34",4041405
"35",4011205
"36",3011106
"37",4012106
"38",5099000
"39",3011106
"40",4021406
"41",5099000
"42",1015302
"43",1031406
"44",3022106
"45",3021406
"46",4041405
"47",3011106
"48",3012106
"49",4012106
"50",5099000
"51",4011205
"52",1011206
"53",5099000
"54",1011106
"55",4041405
"56",1015401
"57",1011106
"58",1015302
"59",3021406
"60",4041405
"61",3012106
"62",3022106
"63",1011206
"64",4041405
"65",3012106
"66",4012106
"67",4012106
"68",3012106
"69",2031406
"70",3011106
"71",1031406
"72",1031406
"73",1011206
"74",1011206
"75",3011106
"76",4041405
"77",4012106
"78",3012106
"79",4012106
"80",4012106
"81",3012106
"82",1031406
"83",4041405
"84",1069000
"85",1051306
"86",4011202
"87",1011206
"88",4041405
"89",4041405
"90",4011206
"91",4011205
"92",4011205
"93",5099000
"94",1051306
"95",4011202
"96",4011203
"97",2031406
"98",3011106
"99",4012106
"100",4011205
"101",4041405
"102",4012106
"103",3012106
"104",3012106
"105",1011206
"106",2031406
"107",2031406
"108",1015401
"109",1031406
"110",5079000
"111",4021406
"112",5099000
"113",1015302
"114",1051406
"115",1031406
"116",1031406
"117",4041405
"118",1011206
"119",3011106
"120",4011205
"121",4041405
"122",3011106
"123",3012106
"124",2031406
"125",5099000
"126",4031406
"127",1051306
"128",4021406
"129",1011206
"130",4012106
"131",4012106
"132",4011206
"133",4041405
"134",4012106
"135",1031406
"136",2031406
"137",5099000
"138",4041405
"139",2031406
"140",1015401
"141",4031406
"142",5079000
"143",1051306
"144",1011206
"145",4011205
"146",3011106
"147",3012106
"148",1011206
"149",5099000
"150",5099000
"151",1069000
"152",1011206
"153",1011206
"154",3011106
"155",4011205
"156",5099000
"157",1015401
"158",1015401
"159",1051306
"160",4011201
"161",4011201
"162",1031406
"163",4041405
"164",4041405
"165",1031406
"166",3011106
"167",5099000
"168",1015401
"169",3031406
"170",4012106
"171",3011106
"172",3012106
"173",3031406
"174",1069000
"175",1051406
"176",1011206
"177",3012106
"178",4011205
"179",4011205
"180",1051306
"181",5099000
"182",3021406
"183",3031406
"184",5079000
"185",1051306
"186",1069000
"187",4011201
"188",1031406
"189",4011206
"190",5099000
"191",4011206
"192",3031406
"193",3031406
"194",1011206
"195",1051406
"196",1051306
"197",1015302
"198",3011106
"199",3011106
"200",4011206
"201",1015401
"202",4041405
"203",3021406
"204",1069000
"205",3031406
"206",2031406
"207",1031406
"208",4012106
"209",3012106
"210",4011206
"211",3011106
"212",5099000
"213",5099000
"214",4011206
"215",3031406
"216",1015302
"217",4012106
"218",3011106
"219",1031406
"220",5099000
"221",4011206
"222",3031406
"223",4015401
"224",4011205
"225",3011106
"226",5099000
"227",4011206
"228",4011206
"229",3021406
"230",1031406
"231",3031406
"232",4031406
"233",5079000
"234",4041405
"235",4041405
"236",1031406
"237",4041405
"238",4041405
"239",4011206
"240",4011206
"241",3031406
"242",3031406
"243",3012106
"244",3011106
"245",4041405
"246",3011106
"247",4041405
"248",1015401
"249",4011206
"250",4011206
"251",3011106
"252",1031406
"253",2011106
"254",4021406
"255",1051306
"256",5099000
"257",3021406
"258",2031406
"259",4011206
"260",3011106
"261",3011106
"262",3012106
"263",3012106
"264",1031406
"265",1011106
"266",1031406
"267",3011106
"268",5099000
"269",5099000
"270",4011206
"271",3031406
"272",5099000
"273",4011205
"274",1015302
"275",4011206
"276",1031406
"277",4011206
"278",4041405
"279",1031406
"280",4011206
"281",3011106
"282",4011206
"283",3021406
"284",3012106
"285",4041405
"286",1011206
"287",1031406
"288",1011206
"289",3011106
"290",3011106
"291",4011206
"292",4011206
"293",4011206
"294",4011206
"295",1011106
"296",5079000
"297",5079000
"298",4031406
"299",4021406
"300",1011206
"301",4011206
"302",4012106
"303",3011106
"304",3011106
"305",3031406
"306",1011106
"307",4031406
"308",4021406
"309",3022106
"310",4041405
"311",4012106
"312",4041405
"313",3021406
"314",3011106
"315",3011106
"316",4041405
"317",4011106
"318",1031406
"319",4011205
"320",4011206
"321",1011206
"322",3011106
"323",4011206
"324",4011206
"325",5099000
"326",5099000
"327",3021406
"328",4041405
"329",1011206
"330",4012106
"331",1031406
"332",4011206
"333",3021406
"334",4011206
"335",4011206
"336",4011206
"337",3031406
"338",3021406
"339",4031406
"340",1051406
"341",3011106
"342",3011106
"343",1011206
"344",1011206
"345",2031406
"346",1011206
"347",1011206
"348",1031406
"349",1069000
"350",5099000
"351",1011206
"352",1011206
"353",3012106
"354",2031406
"355",1031406
"356",1031406
"357",1011206
"358",4011206
"359",4011206
"360",3011106
"361",4011206
"362",3011106
"363",4011206
"364",4011106
"365",3031406
"366",1031406
"367",3031406
"368",3031406
"369",5079000
"370",4021406
"371",1051306
"372",1051406
"373",1051306
"374",3012106
"375",1031406
"376",1011206
"377",4011206
"378",1031406
"379",3031406
"380",1069000
"381",5079000
"382",1015302
"383",3012106
"384",4041405
"385",4011206
"386",3021406
"387",4011206
"388",1031406
"389",3011106
"390",4011206
"391",1011206
"392",4011206
"393",4011206
"394",4011206
"395",3031406
"396",3031406
"397",4021406
"398",4031406
"399",4021406
"400",4041405
"401",4021406
"402",4012106
"403",1011206
"404",1031406
"405",4011206
"406",3011106
"407",4011206
"408",3011106
"409",4041405
"410",4011206
"411",3011106
"412",1011206
"413",1011206
"414",4011206
"415",3021406
"416",3031406
"417",3031406
"418",3031406
"419",3021406
"420",1051306
"421",4022106
"422",4011205
"423",1011206
"424",4011206
"425",1031406
"426",3011106
"427",3021406
"428",3021406
"429",1031406
"430",1011206
"431",4012106
"432",1031406
"433",1011206
"434",2031406
"435",4011206
"436",1011206
"437",1031406
"438",1011206
"439",1031406
"440",3031406
"441",3031406
"442",1031406
"443",3031406
"444",4021406
"445",4021406
"446",1015401
"447",4011201
"448",4011206
"449",3011106
"450",4011206
"451",1011206
"452",3011106
"453",3011106
"454",3011106
"455",4031406
"456",4031406
"457",4021406
"458",4031406
"459",1015302
"460",4041405
"461",1031406
"462",3012106
"463",1031406
"464",4011206
"465",1011206
"466",3031406
"467",1031406
"468",4041403
"469",3021406
"470",2031406
"471",3011106
"472",3011106
"473",3021406
"474",2011106
"475",4021406
"476",4021406
"477",3031406
"478",4021406
"479",1015401
"480",1015302
"481",4011206
"482",3022106
"483",3012106
"484",4041405
"485",1011206
"486",4011206
"487",1031406
"488",4021406
"489",4031406
"490",4031406
"491",4011205
"492",1031406
"493",3011206
"494",4012106
"495",4011206
"496",4011206
"497",4011106
"498",4021406
"499",1069000
