"","x"
"1",0
"2",101
"3",0
"4",0
"5",19
"6",8
"7",101
"8",101
"9",61
"10",0
"11",0
"12",0
"13",101
"14",101
"15",0
"16",101
"17",101
"18",0
"19",11
"20",101
"21",0
"22",0
"23",101
"24",101
"25",101
"26",0
"27",0
"28",101
"29",61
"30",61
"31",0
"32",101
"33",101
"34",61
"35",61
"36",101
"37",101
"38",0
"39",101
"40",101
"41",0
"42",11
"43",101
"44",101
"45",101
"46",61
"47",101
"48",101
"49",101
"50",0
"51",61
"52",101
"53",0
"54",101
"55",61
"56",8
"57",101
"58",11
"59",101
"60",61
"61",101
"62",101
"63",101
"64",61
"65",101
"66",101
"67",101
"68",101
"69",101
"70",101
"71",101
"72",101
"73",101
"74",101
"75",101
"76",61
"77",101
"78",101
"79",101
"80",101
"81",101
"82",101
"83",61
"84",0
"85",101
"86",19
"87",101
"88",61
"89",61
"90",101
"91",61
"92",61
"93",0
"94",101
"95",19
"96",25
"97",101
"98",101
"99",101
"100",61
"101",61
"102",101
"103",101
"104",101
"105",101
"106",101
"107",101
"108",8
"109",101
"110",0
"111",101
"112",0
"113",11
"114",101
"115",101
"116",101
"117",61
"118",101
"119",101
"120",61
"121",61
"122",101
"123",101
"124",101
"125",0
"126",101
"127",101
"128",101
"129",101
"130",101
"131",101
"132",101
"133",61
"134",101
"135",101
"136",101
"137",0
"138",61
"139",101
"140",8
"141",101
"142",0
"143",101
"144",101
"145",61
"146",101
"147",101
"148",101
"149",0
"150",0
"151",0
"152",101
"153",101
"154",101
"155",61
"156",0
"157",8
"158",8
"159",101
"160",8
"161",8
"162",101
"163",61
"164",61
"165",101
"166",101
"167",0
"168",8
"169",101
"170",101
"171",101
"172",101
"173",101
"174",0
"175",101
"176",101
"177",101
"178",61
"179",61
"180",101
"181",0
"182",101
"183",101
"184",0
"185",101
"186",0
"187",8
"188",101
"189",101
"190",0
"191",101
"192",101
"193",101
"194",101
"195",101
"196",101
"197",11
"198",101
"199",101
"200",101
"201",8
"202",61
"203",101
"204",0
"205",101
"206",101
"207",101
"208",101
"209",101
"210",101
"211",101
"212",0
"213",0
"214",101
"215",101
"216",11
"217",101
"218",101
"219",101
"220",0
"221",101
"222",101
"223",8
"224",61
"225",101
"226",0
"227",101
"228",101
"229",101
"230",101
"231",101
"232",101
"233",0
