"","x"
"1",41131
"2",35938
"3",29571
"4",37842
"5",1585
"6",25356
"7",16722
"8",16724
"9",9029
"10",33441
"11",43830
"12",533
"13",7217
"14",16371
"15",42945
"16",4401
"17",13377
"18",40490
"19",3183
"20",8626
"21",19029
"22",39957
"23",40306
"24",4933
"25",15489
"26",36627
"27",41010
"28",4225
"29",4753
"30",10563
"31",14609
"32",16897
"33",3873
"34",5457
"35",7569
"36",7745
"37",8450
"38",11969
"39",17425
"40",33969
"41",1938
"42",3698
"43",5284
"44",5458
"45",7746
"46",8274
"47",8978
"48",11443
"49",11794
"50",12674
"51",14611
"52",14963
"53",15139
"54",15314
"55",17426
"56",22531
"57",22882
"58",3347
"59",5459
"60",5635
"61",6164
"62",7571
"63",8451
"64",8627
"65",12325
"66",13555
"67",14083
"68",14435
"69",16547
"70",17427
"71",22883
"72",4932
"73",5461
"74",7221
"75",7748
"76",8100
"77",8980
"78",9156
"79",9332
"80",10926
"81",14084
"82",15322
"83",17780
"84",35557
"85",41188
"86",1061
"87",5462
"88",6517
"89",7397
"90",9509
"91",12150
"92",13736
"93",15494
"94",40310
"95",710
"96",535
"97",4230
"98",6518
"99",8102
"100",11798
"101",11799
"102",13206
"103",13382
"104",14438
"105",14615
"106",15670
"107",16198
"108",17431
"109",27287
"110",30989
"111",42246
"112",183
"113",4759
"114",5465
"115",5816
"116",6519
"117",7049
"118",7047
"119",7223
"120",11273
"121",12503
"122",12679
"123",13031
"124",15319
"125",17789
"126",41558
"127",41016
"128",41192
"129",6521
"130",7928
"131",8280
"132",12507
"133",12870
"134",14089
"135",15502
"136",15515
"137",15672
"138",16552
"139",18489
"140",26936
"141",32572
"142",37699
"143",6527
"144",6169
"145",10041
"146",12857
"147",13561
"148",14973
"149",35914
"150",38201
"151",41017
"152",6698
"153",7052
"154",13562
"155",14090
"156",16730
"157",18842
"158",24650
"159",40668
"160",194
"161",1245
"162",6699
"163",7587
"164",8459
"165",14092
"166",16203
"167",17790
"168",24123
"169",29579
"170",7932
"171",8460
"172",10572
"173",28879
"174",31880
