"","x"
"1",5099000
"2",4031406
"3",5079000
"4",5079000
"5",4011202
"6",4011201
"7",1031406
"8",2031406
"9",4011205
"10",5079000
"11",5079000
"12",5099000
"13",4012306
"14",1011206
"15",1069000
"16",1031406
"17",4012206
"18",1069000
"19",4011202
"20",1011206
"21",5099000
"22",5099000
"23",1031406
"24",1051406
"25",1031406
"26",1069000
"27",1069000
"28",1031406
"29",4041405
"30",4011205
"31",5099000
"32",1031406
"33",2031406
"34",4041405
"35",4011205
"36",3011306
"37",4012306
"38",5099000
"39",3011306
"40",4031406
"41",5099000
"42",1015302
"43",1031406
"44",3022306
"45",3031406
"46",4041405
"47",3011306
"48",3012306
"49",4012306
"50",5099000
"51",4011205
"52",1011206
"53",5099000
"54",1011106
"55",4041405
"56",1015401
"57",1011306
"58",1015302
"59",3041406
"60",4041405
"61",3012306
"62",3022306
"63",1031406
"64",4041405
"65",3012306
"66",4012306
"67",4012306
"68",3012306
"69",2031406
"70",3011306
"71",1031406
"72",1031406
"73",1051406
"74",1011206
"75",3011306
"76",4041405
"77",4012306
"78",3012306
"79",4012306
"80",4012306
"81",3012306
"82",1031406
"83",4041405
"84",1069000
"85",1051406
"86",4011202
"87",1031406
"88",4041405
"89",4041405
"90",4021406
"91",4011205
"92",4011205
"93",5099000
"94",1051406
"95",4011202
"96",4011203
"97",2031406
"98",3011306
"99",4012306
"100",4011205
"101",4041405
"102",4012306
"103",3012306
"104",3012306
"105",1011206
"106",2031406
"107",2031406
"108",1015401
"109",1031406
"110",5079000
"111",4031406
"112",5099000
"113",1015302
"114",1051406
"115",1031406
"116",1031406
"117",4041405
"118",1031406
"119",3011306
"120",4011205
"121",4041405
"122",3011306
"123",3012306
"124",2031406
"125",5099000
"126",4031406
"127",1051406
"128",4041406
"129",1051406
"130",4012306
"131",4012306
"132",4021406
"133",4041405
"134",4012306
"135",1031406
"136",2031406
"137",5099000
"138",4041405
"139",2031406
"140",1015401
"141",4031406
"142",5079000
"143",1051406
"144",1031406
"145",4011205
"146",3011306
"147",3012306
"148",1031406
"149",5099000
"150",5099000
"151",1069000
"152",1051406
"153",1031406
"154",3011306
"155",4011205
"156",5099000
"157",1015401
"158",1015401
"159",1051406
"160",4011201
"161",4011201
"162",1031406
"163",4041405
"164",4041405
"165",1031406
"166",3011306
"167",5099000
"168",1015401
"169",3031406
"170",4012306
"171",3011306
"172",3012306
"173",3031406
"174",1069000
"175",1051406
"176",1031406
"177",3012306
"178",4011205
"179",4011205
"180",1051406
"181",5099000
"182",3041406
"183",3031406
"184",5079000
"185",1051406
"186",1069000
"187",4011201
"188",1031406
"189",4021406
"190",5099000
"191",4021406
"192",3031406
"193",3031406
"194",1031406
"195",1051406
"196",1051406
"197",1015302
"198",3011306
"199",3011306
"200",4021406
"201",1015401
"202",4041405
"203",3031406
"204",1069000
"205",3031406
"206",2031406
"207",1031406
"208",4012306
"209",3012306
"210",4021406
"211",3011306
"212",5099000
"213",5099000
"214",4021406
"215",3031406
"216",1015302
"217",4012306
"218",3011306
"219",1031406
"220",5099000
"221",4021406
"222",3031406
"223",4015401
"224",4011205
"225",3011306
"226",5099000
"227",4021406
"228",4021406
"229",3031406
"230",1031406
"231",3031406
"232",4031406
"233",5079000
"234",4041405
"235",4041405
"236",1031406
"237",4041405
"238",4041405
"239",4021406
"240",4021406
"241",3031406
"242",3031406
"243",3012306
"244",3011306
"245",4041405
"246",3011306
"247",4041405
"248",1015401
"249",4021406
"250",4021406
"251",3011306
"252",1031406
"253",2011206
"254",4031406
"255",1051406
"256",5099000
"257",3031406
"258",2031406
"259",4021406
"260",3011306
"261",3011306
"262",3012306
"263",3012306
"264",1031406
"265",1051306
"266",1031406
"267",3011306
"268",5099000
"269",5099000
"270",4021406
"271",3031406
"272",5099000
"273",4011205
"274",1015302
"275",4021406
"276",1031406
"277",4021406
"278",4041405
"279",1031406
"280",4021406
"281",3011306
"282",4021406
"283",3031406
"284",3012306
"285",4041405
"286",1011206
"287",1031406
"288",1011206
"289",3011306
"290",3011306
"291",4021406
"292",4021406
"293",4021406
"294",4021406
"295",1011306
"296",5079000
"297",5079000
"298",4031406
"299",4041406
"300",1031406
"301",4021406
"302",4012306
"303",3011306
"304",3011306
"305",3031406
"306",1011206
"307",4031406
"308",4041406
"309",3022306
"310",4041405
"311",4012306
"312",4041405
"313",3031406
"314",3011306
"315",3011306
"316",4041405
"317",4011306
"318",1031406
"319",4011205
"320",4021406
"321",1031406
"322",3011306
"323",4021406
"324",4021406
"325",5099000
"326",5099000
"327",3031406
"328",4041405
"329",1031406
"330",4012306
"331",1031406
"332",4021406
"333",3031406
"334",4021406
"335",4021406
"336",4021406
"337",3031406
"338",3031406
"339",4031406
"340",1051406
"341",3011306
"342",3011306
"343",1051406
"344",1051406
"345",2031406
"346",1031406
"347",1031406
"348",1031406
"349",1069000
"350",5099000
"351",1011206
"352",1051406
"353",3012306
"354",2031406
"355",1031406
"356",1031406
"357",1031406
"358",4021406
"359",4021406
"360",3011306
"361",4021406
"362",3011306
"363",4021406
"364",4011306
"365",3031406
"366",1031406
"367",3031406
"368",3031406
"369",5079000
"370",4031406
"371",1051406
"372",1051406
"373",1051406
"374",3012306
"375",1031406
"376",1031406
"377",4021406
"378",1031406
"379",3031406
"380",1069000
"381",5079000
"382",1015302
"383",3012306
"384",4041405
"385",4021406
"386",3031406
"387",4021406
"388",1031406
"389",3011306
"390",4021406
"391",1051406
"392",4021406
"393",4021406
"394",4021406
"395",3031406
"396",3031406
"397",4041406
"398",4031406
"399",4031406
"400",4041405
"401",4031406
"402",4012306
"403",1031406
"404",1031406
"405",4021406
"406",3011306
"407",4021406
"408",3011306
"409",4041405
"410",4021406
"411",3011306
"412",1051406
"413",1051406
"414",4021406
"415",3031406
"416",3031406
"417",3031406
"418",3031406
"419",3041406
"420",1051406
"421",4022306
"422",4011205
"423",1051406
"424",4021406
"425",1031406
"426",3011306
"427",3041406
"428",3041406
"429",1031406
"430",1031406
"431",4012306
"432",1031406
"433",1031406
"434",2031406
"435",4021406
"436",1031406
"437",1031406
"438",1051406
"439",1031406
"440",3031406
"441",3031406
"442",1031406
"443",3031406
"444",4031406
"445",4041406
"446",1015401
"447",4011201
"448",4021406
"449",3011306
"450",4021406
"451",1051406
"452",3011306
"453",3011306
"454",3011306
"455",4031406
"456",4031406
"457",4041406
"458",4031406
"459",1015302
"460",4041405
"461",1031406
"462",3012306
"463",1031406
"464",4021406
"465",1031406
"466",3031406
"467",1031406
"468",4041403
"469",3031406
"470",2031406
"471",3011306
"472",3011306
"473",3041406
"474",2011206
"475",4031406
"476",4031406
"477",3031406
"478",4041406
"479",1015401
"480",1015302
"481",4021406
"482",3022306
"483",3012306
"484",4041405
"485",1051406
"486",4021406
"487",1031406
"488",4031406
"489",4031406
"490",4031406
"491",4011205
"492",1031406
"493",3021406
"494",4012306
"495",4021406
"496",4021406
"497",4011306
"498",4031406
"499",1069000
