"","x"
"1",4011106
"2",4011106
"3",4011106
"4",4011106
"5",4011106
"6",4011106
"7",4011206
"8",4011206
"9",5099000
"10",5099000
"11",4011206
"12",4011106
"13",4011206
"14",5099000
"15",5099000
"16",4016203
"17",4016203
"18",4015204
"19",4011206
"20",4011206
"21",4011106
"22",4012106
"23",4012106
"24",4012106
"25",4015204
"26",4015302
"27",4015302
"28",4016202
"29",4011306
"30",4011306
"31",4011306
"32",4011106
"33",4011206
"34",4011206
"35",4011106
"36",4011206
"37",4011106
"38",4011206
"39",4011206
"40",5099000
"41",5099000
"42",4015302
"43",4015302
"44",4012206
"45",3011106
"46",4011106
"47",4012106
"48",4015204
"49",4016202
"50",4011206
"51",4011206
"52",4016202
"53",4016202
"54",4016202
"55",4016202
"56",4016202
"57",5099000
"58",4011206
"59",3012206
"60",4015401
"61",4015401
"62",4015401
"63",4016202
"64",4011206
"65",4011206
"66",4016202
"67",4016202
"68",4015103
"69",3021406
"70",4021406
"71",4011106
"72",4041405
"73",4016202
"74",4016202
"75",4016202
"76",4041405
"77",3023106
"78",4041405
"79",4042205
"80",5099000
"81",5099000
"82",4011206
"83",4011206
"84",5099000
"85",5099000
"86",4011206
"87",4011206
"88",5099000
"89",5099000
"90",4041405
"91",5099000
"92",5099000
"93",4011206
"94",3012206
"95",3011206
"96",4016203
"97",4041405
"98",1051406
"99",4013106
"100",5079000
"101",5079000
"102",5079000
"103",5079000
"104",5079000
"105",4041405
"106",4011106
"107",4011206
"108",4011106
"109",4011206
"110",4011206
"111",4011106
"112",4011106
"113",4011106
"114",4041405
"115",4011206
"116",3012206
"117",3012106
"118",5099000
"119",1061401
"120",4016203
"121",4016203
"122",4011106
"123",4011106
"124",4011106
"125",1051406
"126",4011306
"127",4011306
"128",4041405
"129",4041405
"130",4042205
"131",4041405
"132",4041405
"133",5099000
"134",5099000
"135",5099000
"136",1011206
"137",1011206
"138",4011206
"139",4011206
"140",4011206
"141",4011206
"142",4011206
"143",4015104
"144",4011306
"145",3011206
"146",4041405
"147",1031406
"148",3011206
"149",4015204
"150",4015104
"151",4015104
"152",4041405
"153",4015302
"154",4012206
"155",4016203
"156",4042205
"157",3011206
"158",1031406
"159",4011106
"160",4011106
"161",5099000
"162",4041405
"163",4011106
"164",4011106
"165",4042205
"166",1011206
"167",4012206
"168",3012206
"169",4011306
"170",4011306
"171",1051406
"172",1052206
"173",1012106
"174",3011106
"175",3011106
"176",4041405
"177",4041405
"178",4015103
"179",3011106
"180",4041405
"181",4012206
"182",4012206
"183",4012206
"184",4012106
"185",4011306
"186",4013106
"187",3013106
"188",4023106
"189",4041405
"190",3012206
"191",3012206
"192",3011206
"193",4041405
"194",4041405
"195",4011206
"196",4011206
"197",5099000
"198",4011206
"199",3012106
"200",3012106
"201",4041405
"202",4041405
"203",4021406
"204",3021406
"205",3021406
"206",4011306
"207",1012206
"208",4011306
"209",3011206
"210",3011206
"211",4041405
"212",4011306
"213",4011306
"214",4041405
"215",4042205
"216",4012106
"217",4011106
"218",4015401
"219",4015401
"220",4015401
"221",4011106
"222",3011106
"223",3011106
"224",4014106
"225",4014106
"226",4011106
"227",3011106
"228",4011106
"229",3011206
"230",4041405
"231",4041405
"232",5099000
"233",5099000
"234",3011206
"235",4041405
"236",4041405
"237",3011206
"238",4013106
"239",4042205
"240",4042205
"241",1031406
"242",3012106
"243",3012106
"244",3012106
"245",3012106
"246",3012106
"247",4015302
"248",4015402
"249",3031406
"250",4012206
"251",4016203
"252",1011306
"253",1011306
"254",1011206
"255",1011206
"256",3011206
"257",5099000
"258",4041405
"259",4011106
"260",4011106
"261",3021406
"262",3011106
"263",4011106
"264",4011106
"265",4011106
"266",3011106
"267",4011106
"268",4011106
"269",3011106
"270",4041405
"271",4011106
"272",4014106
"273",4018103
"274",4015104
"275",4015104
"276",4018104
"277",4014106
"278",3014106
"279",4014106
"280",3014106
"281",4014106
"282",3014106
"283",3014106
"284",4011206
"285",3011206
"286",4041405
"287",4013106
"288",4021406
"289",4012206
"290",4012206
"291",4042205
"292",1011206
"293",4015104
"294",5099000
"295",5099000
"296",4042205
"297",3012106
"298",3011206
"299",1061401
"300",3022206
"301",3022206
"302",4042205
"303",3012206
"304",4041405
"305",3011206
"306",4041405
"307",4041405
"308",1012206
"309",4011206
"310",4011206
"311",4041405
"312",3011206
"313",3011106
"314",1051406
"315",4041405
"316",3011106
"317",4041405
"318",4041405
"319",4041405
"320",4041405
"321",4014106
"322",3014106
"323",5099000
"324",5099000
"325",5099000
"326",5099000
"327",5099000
"328",5099000
"329",3011206
"330",4012206
"331",3012206
"332",4012206
"333",4012206
"334",4012206
"335",4042205
"336",4011206
"337",4011206
"338",4023106
"339",4041405
"340",4011306
"341",4012206
"342",5099000
"343",5099000
"344",3011206
"345",4041405
"346",4015104
"347",4011206
"348",4011206
"349",4041405
"350",4012106
"351",3012106
"352",3012106
"353",3012106
"354",5099000
"355",5099000
"356",5099000
"357",4041405
"358",4012206
"359",1012206
"360",4042205
"361",4042205
"362",4012206
"363",4011306
"364",4011306
"365",1011306
"366",1011206
"367",4042205
"368",4042205
"369",4041405
"370",4041405
"371",4041405
"372",4011106
"373",3014106
"374",5099000
"375",4011206
"376",3011206
"377",4018103
"378",4011206
"379",3011206
"380",4012206
"381",4012206
"382",4012106
"383",4012106
"384",4012206
"385",4042205
"386",4042205
"387",4042205
"388",4012206
"389",3012206
"390",4012206
"391",4012206
"392",4042205
"393",4012206
"394",3011206
"395",4011106
"396",4041405
"397",4015204
"398",3012206
"399",1051406
"400",4012206
"401",4042205
"402",3012206
"403",4016203
"404",4011306
"405",1011206
"406",4042205
"407",3012206
"408",4042205
"409",4041405
"410",4041405
"411",3011206
"412",4041405
"413",4041405
"414",4015401
"415",4041405
"416",4014106
"417",4014106
"418",4011206
"419",4016203
"420",4016203
"421",4016203
"422",4012206
"423",4012206
"424",4042205
"425",4012206
"426",4012206
"427",4016203
"428",4012206
"429",4012206
"430",4013106
"431",3021406
"432",4011306
"433",4012206
"434",3012206
"435",4011206
"436",4012206
"437",4016202
"438",4016202
"439",4012206
"440",1011206
"441",4041405
"442",3011106
"443",4011106
"444",3011206
"445",4011106
"446",5099000
"447",3011206
"448",3031406
"449",4011206
"450",4011206
"451",3012106
"452",4041405
"453",4012206
"454",4042205
"455",4042205
"456",4011306
"457",4011306
"458",4011306
"459",4012206
"460",4042205
"461",4011206
"462",1012206
"463",4042205
"464",3012106
"465",4041405
"466",3011206
"467",3011206
"468",1011106
"469",3011106
"470",4041405
"471",4011106
"472",4011106
"473",3011106
"474",4041405
"475",4041405
"476",3011106
"477",4041405
"478",1011106
"479",3021406
"480",3011106
"481",4041405
"482",3011106
"483",4041405
"484",4018104
"485",4041405
"486",4018101
"487",4018103
"488",4042205
"489",4018103
"490",4011206
"491",3013106
"492",3023106
"493",3021406
"494",4041405
"495",3012206
"496",4012206
"497",3012206
"498",5099000
"499",5099000
"500",5099000
"501",5099000
"502",5099000
"503",5099000
"504",4012206
"505",5079000
"506",5079000
"507",5079000
"508",5079000
"509",4016202
"510",4016202
"511",4012206
"512",3012206
"513",1031406
"514",1031406
