"","x"
"1",1846
"2",1027
"3",1027
"4",1028
"5",1028
"6",1029
"7",1025
"8",1025
"9",1436
"10",1436
"11",1012
"12",1946
"13",1720
"14",1556
"15",1376
"16",1601
"17",1601
"18",1720
"19",1556
"20",1680
"21",1463
"22",1681
"23",1681
"24",1681
"25",1461
"26",1680
"27",1680
"28",1376
"29",1321
"30",1321
"31",1321
"32",1017
"33",1682
"34",1682
"35",1039
"36",1947
"37",1022
"38",1885
"39",1013
"40",1027
"41",1027
"42",1681
"43",1681
"44",1601
"45",1029
"46",1012
"47",1682
"48",1682
"49",1678
"50",1341
"51",1680
"52",1686
"53",1686
"54",1686
"55",1686
"56",1686
"57",1463
"58",1461
"59",1264
"60",1680
"61",1680
"62",1376
"63",1530
"64",1436
"65",1436
"66",1681
"67",1681
"68",1039
"69",1530
"70",1530
"71",1025
"72",1321
"73",1681
"74",1681
"75",1681
"76",1601
"77",1530
"78",1530
"79",1264
"80",1247
"81",1247
"82",1885
"83",1885
"84",1678
"85",1678
"86",1355
"87",1355
"88",1355
"89",1461
"90",1461
"91",1461
"92",1461
"93",1461
"94",1530
"95",1885
"96",1264
"97",1947
"98",1682
"99",1530
"100",1885
"101",1885
"102",1885
"103",1686
"104",1686
"105",1321
"106",1093
"107",1093
"108",1093
"109",1093
"110",1093
"111",1092
"112",1092
"113",1143
"114",1012
"115",1461
"116",1264
"117",1681
"118",1680
"119",1686
"120",1603
"121",1603
"122",1093
"123",1142
"124",1142
"125",1029
"126",1321
"127",1321
"128",1682
"129",1682
"130",1376
"131",1685
"132",1685
"133",1685
"134",1685
"135",1685
"136",1601
"137",1601
"138",1823
"139",1823
"140",1340
"141",1340
"142",1340
"143",1461
"144",1321
"145",1530
"146",1885
"147",1947
"148",1947
"149",1947
"150",1947
"151",1946
"152",1720
"153",1678
"154",1686
"155",1686
"156",1601
"157",1093
"158",1093
"159",1107
"160",1107
"161",1088
"162",1012
"163",1461
"164",1461
"165",1247
"166",1947
"167",1376
"168",1686
"169",1601
"170",1601
"171",1601
"172",1601
"173",1601
"174",1093
"175",1846
"176",1142
"177",1029
"178",1017
"179",1022
"180",1461
"181",1461
"182",1461
"183",1461
"184",1321
"185",1321
"186",1321
"187",1530
"188",1530
"189",1530
"190",1264
"191",1264
"192",1436
"193",1885
"194",1885
"195",1947
"196",1947
"197",1946
"198",1682
"199",1681
"200",1681
"201",1678
"202",1678
"203",1685
"204",1685
"205",1685
"206",1685
"207",1686
"208",1601
"209",1601
"210",1601
"211",1601
"212",1601
"213",1601
"214",1601
"215",1601
"216",1601
"217",1032
"218",1032
"219",1041
"220",1025
"221",1025
"222",1025
"223",1022
"224",1022
"225",1013
"226",1013
"227",1013
"228",1013
"229",1012
"230",1012
"231",1012
"232",1012
"233",1012
"234",1461
"235",1461
"236",1321
"237",1321
"238",1530
"239",1530
"240",1264
"241",1885
"242",1681
"243",1681
"244",1681
"245",1681
"246",1681
"247",1678
"248",1678
"249",1686
"250",1686
"251",1686
"252",1601
"253",1601
"254",1823
"255",1823
"256",1355
"257",1093
"258",1142
"259",1029
"260",1029
"261",1029
"262",1041
"263",1041
"264",1041
"265",1041
