"","x"
"1",3568588
"2",3578623
"3",3578688
"4",3578823
"5",3578888
"6",3579288
"7",3590730
"8",3590788
"9",3604218
"10",3604288
"11",3612288
"12",3633888
"13",3650888
"14",3659688
"15",3661388
"16",3663407
"17",3663410
"18",3671288
"19",3695388
"20",3708811
"21",3730988
"22",3777002
"23",3777004
"24",3777005
"25",3796788
"26",3797711
"27",3797788
"28",3818205
"29",3826406
"30",3826433
"31",3826488
"32",3845688
"33",3865811
"34",3865888
"35",3875488
"36",3876588
"37",3885388
"38",3885888
"39",3894788
"40",3902823
"41",3902888
"42",3904111
"43",3904188
"44",3914503
"45",3920388
"46",3920988
"47",3922505
"48",3931988
"49",3932509
"50",3937388
"51",3939788
"52",3940302
"53",3940303
"54",3940305
"55",3940310
"56",3940388
"57",3947288
"58",3956288
"59",3956902
"60",3957688
"61",3967488
"62",3967788
"63",3974901
"64",3975318
"65",3975388
"66",3985902
"67",3985904
"68",3992788
"69",3993288
"70",3993388
"71",4001930
"72",4002033
"73",4003404
"74",4003405
"75",4003407
"76",4004388
"77",4012901
"78",4013288
"79",4013402
"80",4013502
"81",4013588
"82",4013610
"83",4013618
"84",4023611
"85",4023617
"86",4030928
"87",4030988
"88",4031088
"89",4031788
"90",4031888
"91",4031901
"92",4031988
"93",4032088
"94",4032902
"95",4033118
"96",4040302
"97",4041088
"98",4041288
"99",4048101
"100",4048910
"101",4048918
"102",4048988
"103",4049705
"104",4049788
"105",4057233
"106",4064488
"107",4064588
"108",4064688
"109",4064710
"110",4064788
"111",4064810
"112",4064888
"113",4064988
"114",4065388
"115",4065488
"116",4066502
"117",4067005
"118",4067188
"119",4067388
"120",4068107
"121",4068110
"122",4074510
"123",4074609
"124",4074688
"125",4075488
"126",4075933
"127",4075988
"128",4076911
"129",4076988
"130",4077105
"131",4077611
"132",4077688
"133",4077903
"134",4077911
"135",4077988
"136",4078612
"137",4078688
"138",4078919
"139",4078988
"140",4084209
"141",4084228
"142",4084288
"143",4085288
"144",4085333
"145",4086088
