"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",1
"14",6
"15",0
"16",0
"17",0
"18",0
"19",4
"20",0
"21",12
"22",6
"23",3
"24",6
"25",1
"26",0
"27",0
"28",0
"29",0
"30",0
"31",3
"32",0
"33",14
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",30
"42",9
"43",0
"44",2
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",13
"56",0
"57",15
"58",1
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",1
"71",1
"72",0
"73",3
"74",1
"75",1
"76",1
"77",1
"78",4
"79",0
"80",0
"81",0
"82",0
"83",1
"84",2
"85",1
"86",1
"87",1
"88",2
"89",1
"90",3
"91",0
"92",0
"93",2
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",1
"101",0
"102",2
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",4
"110",0
"111",0
"112",0
"113",0
"114",0
"115",3
"116",0
"117",3
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",2
"144",0
"145",2
"146",1
"147",0
"148",0
"149",1
"150",3
"151",1
"152",0
"153",2
"154",3
"155",2
"156",1
"157",0
"158",0
"159",0
"160",1
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",3
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",1
"177",8
"178",2
"179",1
"180",2
"181",1
"182",4
"183",2
"184",4
"185",0
"186",0
"187",2
"188",0
"189",4
"190",1
"191",2
"192",1
"193",3
"194",2
"195",0
"196",0
"197",1
"198",2
"199",5
"200",1
"201",1
"202",0
"203",2
"204",2
"205",0
"206",5
"207",2
"208",1
"209",0
"210",5
"211",6
"212",0
"213",2
"214",1
"215",2
"216",6
"217",1
"218",1
"219",2
"220",1
"221",0
"222",0
"223",0
"224",0
