"","unit_","area_pixels_","thinning","herbicide","rxfire","area_pixels"
"13",145,3339,0,0,0,3339
"14",146,3566,0,0,0,2247
"19",182,1395,0,0,0,1395
"21",200,669,0,0,0,669
"22",203,777,0,0,0,777
"23",209,946,0,0,0,946
"24",214,1731,0,0,0,1731
"25",226,2735,0,0,0,2735
"31",274,5799,0,0,0,5799
"33",283,211,0,0,0,211
"41",328,1379,0,0,0,1379
"42",329,1967,0,0,0,1266
"44",333,46815,1,1,0,21607
"55",361,483,0,0,0,483
"57",363,2198,0,0,0,1538
"58",364,500,0,0,0,500
"70",1009,870,0,0,0,870
"71",1010,576,0,0,0,576
"73",1012,919,0,0,0,64
"74",1013,936,0,0,0,76
"75",1014,847,0,0,0,847
"76",1015,406,0,0,0,406
"77",1016,498,0,0,0,498
"78",1017,756,0,0,0,131
"83",1022,988,0,0,0,96
"84",1023,1004,0,0,0,1004
"85",1024,1203,0,0,0,1203
"86",1025,1258,0,0,0,52
"87",1026,781,0,0,0,781
"88",1027,885,0,0,0,263
"89",1028,2015,0,0,0,103
"90",1029,3186,0,0,0,888
"93",1032,534,0,0,0,534
"100",1039,872,0,0,0,49
"102",1041,1617,0,0,0,1617
"109",1048,1023,0,0,0,1023
"115",1054,1099,0,0,0,1099
"117",1056,1767,0,0,0,1767
"143",1082,1423,0,0,0,739
"145",1084,784,0,0,0,784
"146",1085,859,0,0,0,859
"149",1088,618,0,0,0,617
"150",1089,678,0,0,0,678
"151",1090,1193,0,0,0,1193
"153",1092,1456,0,0,0,1340
"154",1093,2662,0,0,0,2457
"155",1094,1570,0,0,0,1570
"156",1095,3159,0,0,0,3159
"160",1099,977,0,0,0,977
"168",1107,1070,0,0,0,974
"176",1115,712,0,0,0,712
"177",1116,795,0,0,0,795
"178",1117,1043,0,0,0,1043
"179",1118,2092,0,0,0,433
"180",1119,1153,0,0,0,1153
"181",1120,1117,0,0,0,1117
"182",1121,5113,0,0,0,5113
"183",1122,1318,0,0,0,1318
