"","BurnBlock","Area","Starts","Prob"
"14",145,3339,7,0.004294479
"15",146,2247,5,0.003067485
"20",182,1395,0,0
"22",200,669,1,0.000613497
"23",203,777,0,0
"24",209,946,1,0.000613497
"25",214,1731,0,0
"26",226,2735,1,0.000613497
"32",274,5799,15,0.009202454
"34",283,211,1,0.000613497
"42",328,1379,0,0
"43",329,1266,1,0.000613497
"45",333,21607,133,0.081595092
"56",361,483,0,0
"58",363,1538,0,0
"59",364,500,0,0
"71",1009,870,0,0
"72",1010,576,0,0
"74",1012,64,0,0
"75",1013,76,0,0
"76",1014,847,1,0.000613497
"77",1015,406,0,0
"78",1016,498,0,0
"79",1017,131,0,0
"84",1022,96,0,0
"85",1023,1004,1,0.000613497
"86",1024,1203,0,0
"87",1025,52,0,0
"88",1026,781,0,0
"89",1027,263,1,0.000613497
"90",1028,103,0,0
"91",1029,888,0,0
"94",1032,534,0,0
"101",1039,49,0,0
"103",1041,1617,0,0
"110",1048,1023,0,0
"116",1054,1099,0,0
"118",1056,1767,0,0
"144",1082,739,1,0.000613497
"146",1084,784,1,0.000613497
"147",1085,859,1,0.000613497
"150",1088,617,0,0
"151",1089,678,0,0
"152",1090,1193,0,0
"154",1092,1340,1,0.000613497
"155",1093,2457,2,0.001226994
"156",1094,1570,0,0
"157",1095,3159,1,0.000613497
"161",1099,977,0,0
"169",1107,974,1,0.000613497
"177",1115,712,1,0.000613497
"178",1116,795,0,0
"179",1117,1043,0,0
"180",1118,433,0,0
"181",1119,1153,0,0
"182",1120,1117,0,0
"183",1121,5113,0,0
"184",1122,1318,0,0
"185",1123,625,0,0
"188",1126,494,0,0
"190",1128,2189,2,0.001226994
"191",1129,379,0,0
"192",1130,886,1,0.000613497
"193",1131,886,0,0
"194",1132,720,0,0
"195",1133,72,1,0.000613497
"198",1136,1217,0,0
"199",1137,1280,1,0.000613497
"200",1138,794,0,0
"201",1139,793,0,0
"202",1140,812,0,0
"204",1142,2117,2,0.001226994
"205",1143,542,1,0.000613497
"207",1145,1158,0,0
"208",1146,1389,0,0
"209",1147,2118,0,0
"211",1149,740,1,0.000613497
"212",1150,2975,0,0
"214",1152,2388,1,0.000613497
"215",1153,3619,0,0
"216",1154,3245,0,0
"217",1155,696,1,0.000613497
"218",1156,365,0,0
"219",1157,859,0,0
"220",1158,256,0,0
"221",1159,644,0,0
"230",1168,627,0,0
"231",1169,1017,0,0
"232",1170,1001,0,0
"233",1171,1142,0,0
"236",1174,1918,1,0.000613497
"237",1175,908,0,0
"240",1178,990,0,0
"241",1179,1508,0,0
"242",1180,1233,1,0.000613497
"243",1181,919,0,0
"244",1182,1273,0,0
"245",1183,643,2,0.001226994
"246",1184,585,0,0
"247",1185,1721,1,0.000613497
"248",1186,598,0,0
"259",1197,1320,0,0
"260",1198,1905,1,0.000613497
"261",1199,1312,0,0
"274",1212,756,0,0
"275",1213,2377,1,0.000613497
"278",1216,563,1,0.000613497
"309",1247,15,0,0
"310",1248,720,0,0
"311",1249,1481,0,0
"312",1250,680,0,0
"315",1253,1420,0,0
"326",1264,255,0,0
"329",1267,682,1,0.000613497
"330",1268,804,0,0
"331",1269,1023,0,0
"337",1275,1648,1,0.000613497
"338",1276,1145,0,0
"339",1277,807,0,0
"340",1278,1415,0,0
"341",1279,414,0,0
"345",1283,891,1,0.000613497
"346",1284,540,0,0
"347",1285,417,0,0
"348",1286,1076,0,0
"349",1287,1030,0,0
"350",1288,511,0,0
"351",1289,976,0,0
"352",1290,1992,0,0
"353",1291,1439,1,0.000613497
"354",1292,802,1,0.000613497
"355",1293,580,0,0
"356",1294,1679,1,0.000613497
"357",1295,823,0,0
"358",1296,750,0,0
"359",1297,677,0,0
"365",1303,1498,1,0.000613497
"366",1304,1187,1,0.000613497
"367",1305,1157,0,0
"381",1319,129,1,0.000613497
"382",1320,1391,0,0
"383",1321,261,0,0
"384",1322,1422,0,0
"385",1323,612,0,0
"391",1329,3452,2,0.001226994
"392",1330,2612,1,0.000613497
"393",1331,475,1,0.000613497
"395",1333,1525,0,0
"402",1340,1458,5,0.003067485
"403",1341,24,5,0.003067485
"407",1345,478,0,0
"409",1347,1430,0,0
"410",1348,347,0,0
"411",1349,808,0,0
"412",1350,830,0,0
"416",1354,541,0,0
"417",1355,1959,1,0.000613497
"424",1362,553,0,0
"425",1363,636,0,0
"426",1364,685,0,0
"428",1366,1091,0,0
"434",1372,920,0,0
"435",1373,3388,0,0
"436",1374,1188,0,0
"437",1375,805,0,0
"438",1376,147,0,0
"439",1377,832,2,0.001226994
"443",1381,2158,0,0
"445",1383,568,0,0
"450",1388,1441,0,0
"451",1389,1981,0,0
"452",1390,2212,0,0
"454",1392,1704,0,0
"455",1393,326,0,0
"456",1394,449,0,0
"457",1395,632,0,0
"458",1396,946,1,0.000613497
"461",1399,829,1,0.000613497
"462",1400,1280,2,0.001226994
"469",1407,1213,0,0
"470",1408,1183,0,0
"473",1411,1691,0,0
"474",1412,1041,2,0.001226994
"475",1413,834,0,0
"476",1414,1368,1,0.000613497
"478",1416,1068,1,0.000613497
"480",1418,3548,1,0.000613497
"481",1419,1303,1,0.000613497
"485",1423,757,0,0
"492",1430,558,0,0
"495",1433,571,0,0
"498",1436,24,0,0
"506",1444,1400,0,0
"507",1445,692,1,0.000613497
"508",1446,938,0,0
"509",1447,942,1,0.000613497
"514",1452,2074,0,0
"515",1453,762,2,0.001226994
"518",1456,1634,0,0
"520",1458,1024,0,0
"523",1461,229,1,0.000613497
"524",1462,1071,0,0
"525",1463,5,0,0
"529",1467,1496,0,0
"535",1473,4064,4,0.002453988
"536",1474,1849,1,0.000613497
"541",1479,1081,0,0
"542",1480,794,1,0.000613497
"543",1481,1081,0,0
"544",1482,3625,1,0.000613497
"545",1483,1521,0,0
"546",1484,350,0,0
"554",1492,1241,1,0.000613497
"559",1497,1003,0,0
"560",1498,773,0,0
"568",1506,213,1,0.000613497
"570",1508,3387,2,0.001226994
"575",1514,1766,1,0.000613497
"586",1525,1148,1,0.000613497
"590",1529,2503,0,0
"591",1530,1975,0,0
"598",1537,842,0,0
"599",1538,570,0,0
"602",1541,1010,0,0
"603",1542,1900,2,0.001226994
"610",1549,1060,0,0
"617",1556,123,0,0
"618",1557,1085,1,0.000613497
"619",1558,1132,0,0
"626",1565,783,0,0
"627",1566,681,1,0.000613497
"638",1577,4019,5,0.003067485
"639",1578,6789,3,0.001840491
"640",1579,5260,1,0.000613497
"641",1580,5396,1,0.000613497
"642",1581,1190,0,0
"644",1583,1793,0,0
"645",1584,1074,0,0
"646",1585,1004,0,0
"647",1586,875,0,0
"649",1588,1382,0,0
"650",1589,455,0,0
"651",1590,1268,0,0
"655",1594,1160,1,0.000613497
"662",1601,580,0,0
"664",1603,7,0,0
"673",1612,6886,0,0
"674",1613,5312,2,0.001226994
"682",1621,1827,1,0.000613497
"688",1627,1101,0,0
"689",1628,875,0,0
"705",1644,821,0,0
"707",1646,639,0,0
"712",1651,805,0,0
"723",1662,3196,0,0
"725",1664,841,0,0
"736",1675,2875,0,0
"737",1676,506,0,0
"739",1678,342,1,0.000613497
"741",1680,395,0,0
"742",1681,389,0,0
"743",1682,337,0,0
"744",1683,471,0,0
"745",1684,869,0,0
"746",1685,1571,0,0
"747",1686,2788,0,0
"748",1687,1326,0,0
"749",1688,1395,0,0
"755",1694,3437,0,0
"756",1695,802,0,0
"760",1700,967,0,0
"763",1703,3110,2,0.001226994
"771",1711,507,1,0.000613497
"772",1712,1603,0,0
"773",1713,2565,0,0
"780",1720,178,0,0
"782",1722,1580,0,0
"783",1723,992,0,0
"796",1736,2480,1,0.000613497
