"","x"
"1",2
"2",2
"3",2
"4",2
"5",2
"6",2
"7",4
"8",4
"9",5
"10",5
"11",6
"12",3
"13",4
"14",3
"15",5
"16",10
"17",10
"18",4
"19",5
"20",5
"21",3
"22",3
"23",3
"24",3
"25",4
"26",5
"27",5
"28",20
"29",6
"30",10
"31",10
"32",2
"33",4
"34",4
"35",2
"36",4
"37",2
"38",5
"39",6
"40",2
"41",2
"42",3
"43",3
"44",4
"45",3
"46",3
"47",3
"48",4
"49",20
"50",4
"51",5
"52",20
"53",20
"54",10
"55",10
"56",10
"57",3
"58",4
"59",20
"60",5
"61",5
"62",20
"63",20
"64",5
"65",6
"66",2
"67",3
"68",2
"69",31
"70",31
"71",3
"72",10
"73",3
"74",3
"75",3
"76",10
"77",31
"78",31
"79",20
"80",20
"81",20
"82",4
"83",5
"84",31
"85",31
"86",4
"87",4
"88",4
"89",5
"90",5
"91",4
"92",4
"93",4
"94",20
"95",5
"96",20
"97",4
"98",4
"99",10
"100",4
"101",4
"102",5
"103",10
"104",10
"105",10
"106",3
"107",4
"108",3
"109",4
"110",4
"111",3
"112",3
"113",3
"114",6
"115",4
"116",20
"117",3
"118",5
"119",10
"120",10
"121",20
"122",3
"123",2
"124",3
"125",2
"126",10
"127",10
"128",4
"129",4
"130",20
"131",31
"132",10
"133",10
"134",31
"135",10
"136",6
"137",6
"138",5
"139",5
"140",5
"141",5
"142",5
"143",3
"144",10
"145",20
"146",5
"147",4
"148",4
"149",4
"150",3
"151",3
"152",4
"153",20
"154",20
"155",10
"156",5
"157",4
"158",3
"159",2
"160",2
"161",2
"162",6
"163",3
"164",3
"165",20
"166",5
"167",20
"168",10
"169",10
"170",10
"171",5
"172",5
"173",3
"174",3
"175",2
"176",3
"177",3
"178",2
"179",2
"180",5
"181",4
"182",4
"183",4
"184",3
"185",10
"186",10
"187",10
"188",31
"189",31
"190",20
"191",20
"192",5
"193",5
"194",5
"195",4
"196",4
"197",2
"198",4
"199",3
"200",3
"201",20
"202",20
"203",31
"204",31
"205",31
"206",10
"207",20
"208",10
"209",10
"210",10
"211",10
"212",10
"213",10
"214",6
