"","x"
"1",4016203
"2",4012106
"3",4012106
"4",4012106
"5",3012206
"6",4016202
"7",4016203
"8",4042205
"9",4012206
"10",4012206
"11",4012106
"12",3013106
"13",4018103
"14",4012206
"15",3012106
"16",3014106
"17",4012206
"18",4012206
"19",3012106
"20",4012106
"21",4014106
"22",4014106
"23",4016203
"24",4013106
"25",3012206
"26",4042205
"27",1012206
"28",4016202
"29",4012106
"30",4012206
"31",4042205
"32",3012206
"33",4016202
"34",4012206
"35",3012206
"36",3012206
"37",4042205
"38",4042205
"39",4042205
"40",4012206
"41",4042205
"42",4012206
"43",3012206
"44",4016204
"45",1012206
"46",1012206
"47",4042205
"48",4012206
"49",1016202
"50",1012206
"51",3023106
"52",1012206
"53",4012206
"54",4016202
"55",3012206
"56",2016202
"57",3022206
"58",4012206
"59",4016202
"60",1012206
"61",4042205
"62",1012206
"63",4014106
"64",3012206
"65",4042205
"66",4016202
"67",1012206
"68",4014106
"69",3012206
"70",4042205
"71",4042205
"72",4042205
"73",4042205
"74",1012206
"75",4042205
"76",4017103
"77",1012206
"78",1012206
"79",4016201
"80",3022206
"81",4042205
"82",4014106
"83",4017103
"84",4022206
"85",3012206
"86",2032206
"87",3012206
"88",4016202
"89",4013106
"90",4012206
"91",4012206
"92",3012206
"93",4023106
"94",4042205
"95",4017103
"96",4042205
"97",3012206
"98",4017103
"99",4042205
"100",4016203
"101",4016203
"102",4016203
"103",3012206
"104",1012206
"105",1012206
"106",4022206
"107",3012206
"108",3012206
"109",4012206
"110",4042205
"111",4042205
"112",4016203
"113",1012206
"114",4042205
"115",2032206
"116",4042205
"117",4012206
"118",4042205
"119",4042205
"120",4012206
"121",3022206
"122",4012206
"123",4042205
"124",4014106
"125",3012206
"126",2032206
"127",1012206
"128",1052206
"129",3012206
"130",4012206
"131",4012206
"132",3012206
"133",4012206
"134",1012206
"135",4042205
"136",3012206
"137",3012206
"138",4042205
"139",4016201
"140",3022206
"141",3022206
"142",4042205
"143",4042205
"144",3012206
"145",4016202
"146",4042205
"147",4042205
"148",3012206
"149",4042205
"150",4018103
"151",4042205
"152",3012206
"153",3012206
"154",4012206
"155",4042205
"156",4016202
"157",4016202
"158",4016201
"159",3014106
"160",3012206
"161",2012206
"162",4012206
"163",4042205
"164",3012206
"165",4042205
"166",3012206
"167",4042205
"168",3014106
"169",1012206
"170",4018104
"171",4012206
"172",4042205
"173",4016201
"174",4042205
"175",4016202
"176",1012206
"177",4042205
"178",4042205
"179",1016202
"180",3012206
"181",4016202
"182",4042205
"183",4016202
"184",4012206
"185",4012206
"186",4016202
"187",3012206
"188",4042205
"189",4012206
"190",3012206
"191",1012206
"192",4042205
"193",3012206
"194",4016201
"195",3012206
"196",1012206
"197",3012206
"198",4017101
"199",4042205
"200",3012206
"201",4012206
"202",3012206
"203",3012206
"204",3012206
"205",4012206
"206",4016202
"207",4016201
"208",4012206
"209",3022206
"210",3012206
"211",4042205
"212",1012206
"213",3012206
"214",3012206
"215",3032206
"216",3012206
"217",3012206
"218",4042205
"219",4012206
"220",4042205
"221",4042205
"222",4042205
"223",3032206
"224",3012206
"225",4042205
"226",4012206
"227",3012206
"228",4012206
"229",4012206
"230",3022206
"231",4016202
"232",4016201
"233",3012206
"234",3032206
"235",3012206
"236",4016202
"237",3022206
"238",4014106
"239",4012106
"240",4016202
"241",4042205
"242",3012206
"243",4016202
"244",4042205
"245",4016202
"246",4016203
"247",3014106
"248",4014106
"249",3014106
"250",4014106
"251",3012206
"252",4018101
"253",4016201
"254",3012206
"255",4042205
"256",1016202
"257",3012206
"258",3012206
"259",4016202
"260",4016203
"261",4012106
"262",4042205
"263",4016203
"264",4012206
"265",4016202
"266",4012206
"267",3012206
"268",3012106
"269",4012206
"270",4016202
"271",3012106
"272",4016203
"273",4016201
"274",4016103
"275",4022206
"276",4016202
"277",4012106
"278",1016201
"279",3032206
"280",2016203
"281",4016203
"282",4042205
"283",4012206
"284",4016202
"285",1016202
"286",4042205
"287",1016202
"288",1016202
"289",2016203
"290",4016202
"291",4016203
"292",4016202
"293",4016203
"294",1052206
"295",4016202
"296",4016202
"297",4016202
