"","x"
"1",3663407
"2",3777002
"3",3777005
"4",3922505
"5",3956902
"6",3985904
"7",4040302
"8",4088603
"9",4106001
"10",4106003
"11",4106106
"12",4106401
"13",4127204
"14",4128802
"15",4129405
"16",4137904
"17",4138406
"18",4139402
"19",4140405
"20",4150306
"21",4160904
"22",4161004
"23",4161301
"24",4161901
"25",4162302
"26",4164203
"27",4164903
"28",4174202
"29",4176005
"30",4176905
"31",4187102
"32",4189502
"33",4189605
"34",4202502
"35",4202602
"36",4212510
"37",4214903
"38",4215505
"39",4224402
"40",4225203
"41",4225303
"42",4235305
"43",4243502
"44",4244602
"45",4245005
"46",4245203
"47",4253102
"48",4253202
"49",4254810
"50",4264608
"51",4273101
"52",4273602
"53",4275703
"54",4283103
"55",4284102
"56",4285903
"57",4315402
"58",4315702
"59",4318902
"60",4319107
"61",4319207
"62",4330408
"63",4338323
"64",4338710
"65",4339002
"66",4340405
"67",4341303
"68",4349204
"69",4351202
"70",4353403
"71",4353503
"72",4363205
"73",4363608
"74",4363908
"75",4372601
"76",4373101
"77",4373502
"78",4376203
"79",4376302
"80",4384602
"81",4386408
"82",4395204
"83",4395701
"84",4396202
"85",4396602
"86",4398104
"87",4408410
"88",4408803
"89",4417401
"90",4420908
"91",4426501
"92",4429203
"93",4437601
"94",4439504
"95",4448401
"96",4458101
"97",4458201
"98",4458901
"99",4468802
"100",4479402
"101",4498002
"102",4498102
"103",4500702
"104",4500808
"105",4507601
"106",4509702
"107",4510003
"108",4520402
"109",4527501
"110",4527901
"111",4528001
"112",4529302
"113",4537001
"114",4539004
"115",4539104
"116",4540205
"117",4551405
"118",4551503
"119",4562904
"120",4564002
"121",4574208
"122",4585308
"123",4585503
"124",4593904
"125",4604401
"126",4617104
"127",4618708
"128",4637802
"129",4679803
"130",4680002
"131",4680003
"132",4691202
"133",4691308
"134",4702608
"135",4712704
"136",4713603
"137",4722901
"138",4723001
"139",4726402
"140",4727008
"141",4727208
"142",4738502
"143",4739804
"144",4741108
"145",4749101
"146",4753108
"147",4762908
"148",4815408
"149",4815508
"150",4822404
"151",4824602
"152",4826803
"153",4851603
"154",4865503
"155",4866302
"156",4875201
"157",4878005
"158",4879402
"159",4885804
"160",4902402
"161",4902708
"162",4903008
"163",4914105
"164",4915008
"165",4926008
"166",4938102
"167",4960308
"168",4978904
"169",4984108
"170",4990304
"171",4995502
"172",5016405
"173",5016702
"174",5022208
"175",5040302
"176",5054408
"177",5054508
"178",5061505
"179",5076710
"180",5083805
"181",5085102
"182",5087504
"183",5096904
"184",5102702
"185",5105709
"186",5135202
"187",5137305
"188",5138002
"189",5150005
"190",5162002
"191",5182605
"192",5205409
"193",5212105
"194",5212202
"195",5212302
"196",5214709
"197",5215009
"198",5224800
"199",5226304
"200",5226402
"201",5237202
"202",5248902
"203",5256605
"204",5282205
"205",5282388
"206",5282505
"207",5295202
"208",5295402
"209",5312402
"210",5320102
"211",5324809
"212",5324904
"213",5385805
"214",5386002
"215",5392102
"216",5392302
"217",5399205
"218",5411802
"219",5425205
"220",5435409
"221",5442902
"222",5446309
"223",5446504
"224",5452105
"225",5452306
"226",5452802
"227",5456701
"228",5464702
"229",5465505
"230",5469205
"231",5470010
"232",5476802
"233",5476902
"234",5488205
"235",5488706
"236",5494104
"237",5494205
"238",5502202
"239",5502606
"240",5514402
"241",5518609
"242",5518709
"243",5543904
"244",5553409
"245",5561302
"246",5565709
"247",5573302
"248",5585202
"249",5585402
"250",5597402
"251",5597702
"252",5619502
"253",5623507
"254",5638602
"255",5660909
"256",5679901
"257",5685702
"258",5707104
"259",5708007
"260",5718607
"261",5736806
"262",5747806
"263",5770402
"264",5771307
"265",5771904
"266",5790107
"267",5790207
"268",5800310
"269",5801204
"270",5811106
"271",5822110
"272",5822704
"273",5824602
"274",5841702
"275",5844801
"276",5851902
"277",5862710
"278",5866401
"279",5885717
"280",5887805
"281",5953205
"282",6002805
"283",6026305
"284",6027201
"285",6027310
"286",6040001
"287",6040110
"288",6052110
"289",6086006
"290",6098808
"291",6245306
"292",6317906
"293",6330406
"294",6367001
"295",6376302
"296",6519202
"297",6533504
