"","x"
"1",1470114
"2",99
"3",9
"4",43
"5",29
"6",11
"7",116
"8",2
"9",248
"10",16
"11",11
"12",213
"13",10
"14",139
"15",10
"16",71
"17",56
"18",6
"19",189
"20",143
"21",236
"22",70
"23",11
"24",144
"25",14
"26",10
"27",22
"28",781
"29",13
"30",792
"31",227
"32",19
"33",987
"34",2
"35",44
"36",41
"37",14
"38",13
"39",49
"40",104
"41",3
"42",108
"43",432
"44",32
"45",2
"46",10
"47",751
"48",2
"49",5
"50",3
"51",6
"52",20
"53",26
"54",33
"55",304
"56",109
"57",11
"58",56
"59",12
"60",2
"61",15
"62",14
"63",1039
"64",8
"65",741
"66",27
"67",31
"68",105
"69",288
"70",4
"71",54
"72",89
"73",8
"74",16
"75",116
"76",13
"77",8
"78",59
"79",20
"80",44
"81",1428
"82",144
"83",77
"84",9
"85",503
"86",75
"87",54
"88",1
"89",52
"90",7
"91",14
"92",21
"93",59
"94",1
"95",173
"96",6
"97",54
"98",69
"99",5
"100",43
"101",15
"102",3
"103",1
"104",126
"105",2
"106",132
"107",96
"108",63
"109",86
"110",123
"111",177
"112",1
"113",51
"114",3
"115",23
"116",549
"117",77
"118",30
"119",11
"120",1
"121",75
"122",7
"123",42
"124",12
"125",74
"126",6
"127",1
"128",8
"129",23
"130",13
"131",8
"132",56
"133",8
"134",17
"135",8
"136",9
"137",99
"138",24
"139",154
"140",6
"141",24
"142",1588
"143",28
"144",84
"145",74
"146",1
"147",11
"148",64
"149",194
"150",56
"151",33
"152",135
"153",70
"154",23
"155",15
"156",310
"157",92
"158",6
"159",14
"160",54
"161",20
"162",58
"163",36
"164",8
"165",87
"166",49
"167",4
"168",1748
"169",139
"170",11
"171",39
"172",231
"173",37
"174",77
"175",58
"176",24
"177",500
"178",1
"179",2
"180",81
"181",103
"182",16
"183",393
"184",5
"185",24
"186",26
"187",3
"188",213
"189",3
"190",12
"191",345
"192",39
"193",7
"194",2
"195",130
"196",1894
"197",2
"198",389
"199",13
"200",749
"201",2
"202",60
"203",1
"204",3
"205",2
"206",9
"207",67
"208",2
"209",4
"210",2
"211",4
"212",27
"213",1
"214",1
"215",32
"216",43
"217",270
"218",11
"219",4
"220",1
"221",243
"222",265
"223",1
"224",8
"225",2
"226",92
"227",95
"228",19
"229",4
"230",45
"231",193
"232",55
"233",273
"234",21
"235",1
"236",5
"237",66
"238",24
"239",79
"240",2
"241",1
"242",43
"243",6
"244",34
"245",63
"246",26
"247",129
"248",69
"249",19
"250",84
"251",9
"252",10
"253",823
"254",482
"255",1
"256",352
"257",10
"258",40
"259",45
"260",5
"261",1
"262",1
"263",31
"264",82
"265",31
"266",25
"267",49
"268",3
"269",114
"270",4
"271",26
"272",40
"273",4
"274",2
"275",165
"276",15
"277",54
"278",15
"279",7
"280",5
"281",41
"282",19
"283",20
"284",44
"285",31
"286",46
"287",1
"288",74
"289",128
"290",65
"291",1
"292",6
"293",472
"294",2
"295",25
"296",14
"297",22
"298",9
"299",9
"300",2
"301",8
"302",6536
"303",13
"304",39
"305",151
"306",115
"307",10
"308",9
"309",150
"310",10
"311",10
"312",1
"313",200
"314",79
"315",26
"316",1
"317",17
"318",42
"319",5
"320",3
"321",3
"322",55
"323",9
"324",10
"325",80
"326",189
"327",11
"328",100
"329",18
"330",298
"331",234
"332",1
"333",8
"334",21
"335",109
"336",6
"337",115
"338",234
"339",12
"340",22
"341",44
"342",27
"343",8
"344",37
"345",17
"346",29
"347",17
"348",20
"349",4
"350",2361
"351",7
"352",1
"353",1
"354",19
"355",13
"356",12
"357",2
"358",748
"359",290
"360",4
"361",2
"362",159
"363",26
"364",6
"365",1
"366",2
"367",484
"368",452
"369",16
"370",1423
"371",96
"372",9
"373",14
"374",59
"375",727
"376",13
"377",51
"378",85
"379",2
"380",2
"381",202
"382",109
"383",12
"384",2
"385",30
"386",1
"387",16
"388",51
"389",24
"390",25
"391",113
"392",10
"393",20
"394",31
"395",539
"396",14
"397",1
"398",7
"399",3
"400",1
"401",11
"402",43
"403",3
"404",15
"405",52
"406",96
"407",117
"408",9
"409",288
"410",5
"411",5
"412",1
"413",2
"414",1
"415",1
"416",530
"417",141
"418",20
"419",182
"420",4
"421",29
"422",49
"423",5
"424",6
"425",27
"426",4
"427",118
"428",9
"429",2
"430",1005
"431",39
"432",11
"433",287
"434",136
"435",3
"436",17
"437",1
"438",133
"439",72
"440",2
"441",32
"442",7
"443",15
"444",16
"445",156
"446",16
"447",2
"448",1
"449",23
"450",100
"451",1
"452",4
"453",2
"454",487
"455",1079
"456",2
"457",24
"458",2
"459",76
"460",12
"461",9
"462",1
"463",73
"464",77
"465",64
"466",10
"467",1
"468",168
"469",102
"470",20
"471",15
"472",399
"473",1
"474",15
"475",40
"476",41
"477",55
"478",4
"479",28
"480",20
"481",139
"482",5
"483",10
"484",1
"485",9
"486",18
"487",1353
"488",864
"489",40
"490",25
"491",6
"492",2
"493",468
"494",22
"495",6
"496",16
"497",159
"498",799
"499",10
"500",17
"501",28
"502",22
"503",13
"504",39
"505",315
"506",772
"507",2
"508",12
"509",136
"510",26
"511",17
"512",24
"513",30
"514",4
"515",72
"516",12
"517",59
"518",12
"519",28
"520",5
"521",1
"522",13
"523",135
"524",41
"525",5
"526",59
"527",16
"528",10
"529",20
"530",1
"531",9
"532",10
"533",37
"534",12
"535",92
"536",32
"537",41
