"","x"
"1",4287601
"2",4508999
"3",4510748
"4",4523147
"5",4553253
"6",4549713
"7",4562119
"8",4567420
"9",4448781
"10",4493043
"11",4500123
"12",4523156
"13",4574506
"14",4576283
"15",4606383
"16",4613470
"17",4655972
"18",4664828
"19",4500141
"20",4629416
"21",4680773
"22",4439920
"23",4443455
"24",4546186
"25",4592219
"26",4693165
"27",4691397
"28",4351438
"29",4707335
"30",4714418
"31",4393878
"32",4448770
"33",4746311
"34",4491274
"35",4491275
"36",4586917
"37",4804747
"38",4813596
"39",4817140
"40",4833087
"41",4831307
"42",4845481
"43",4473576
"44",4606393
"45",4856102
"46",4859645
"47",4900383
"48",4388559
"49",4544407
"50",4611705
"51",4385018
"52",4438151
"53",4533785
"54",4381477
"55",4698493
"56",4505466
"57",4558579
"58",4599312
"59",4622335
"60",4365540
"61",4438155
"62",4501908
"63",4675505
"64",4532016
"65",4349612
"66",4570979
"67",4799445
"68",4328364
"69",4356695
"70",4443468
"71",4528478
"72",4562133
"73",4578065
"74",4794127
"75",4524939
"76",4611715
"77",4705576
"78",4725064
"79",4778189
"80",4788815
"81",4882761
"82",4928734
"83",4333674
"84",4618799
"85",4935820
"86",4650681
"87",4866753
"88",4958831
"89",4427538
"90",4549735
"91",4608175
"92",4847260
"93",4873827
"94",4955290
"95",4942911
"96",4546192
"97",4601093
"98",4670165
"99",4864972
"100",4532025
"101",4604637
"102",4953522
"103",4971231
"104",4969475
"105",4308878
"106",4560364
"107",4694959
"108",4765803
"109",4980097
"110",4296494
"111",4542657
"112",4948210
"113",5003117
"114",4551507
"115",4792364
"116",4291184
"117",4376189
"118",4533799
"119",4641830
"120",4946441
"121",4549742
"122",4551509
"123",4601103
"124",4613495
"125",4654229
"126",4710902
"127",4942900
"128",4640061
"129",4748093
"130",4804765
"131",4981866
"132",4981874
"133",4999575
"134",4569222
"135",4578078
"136",4719757
"137",4781749
"138",4990719
"139",4477133
"140",4563911
"141",4599330
"142",4728645
"143",4771121
"144",4801228
"145",4804771
"146",4942903
"147",4737468
"148",4994269
"149",5015532
"150",5001361
"151",5020831
"152",5035007
"153",4300052
"154",4570995
"155",4572766
"156",4632993
"157",4636532
"158",4937592
"159",4971242
"160",4560373
"161",4595792
"162",4602878
"163",4622358
"164",4742784
"165",4230970
"166",4528496
"167",4781747
"168",4351418
"169",4702061
"170",4733931
"171",4882700
"172",5040323
"173",4480680
"174",4870300
"175",5020842
"176",4216801
"177",4455889
"178",4480679
"179",4680802
"180",4719768
"181",4829566
"182",5045630
"183",4489540
"184",4563917
"185",4585173
"186",4767583
"187",4935828
"188",4941149
"189",4236283
"190",4604651
"191",4912810
"192",5049175
"193",4202635
"194",4229200
"195",4542670
"196",4530321
"197",4597568
"198",4594027
"199",4776439
"200",4971281
"201",4197324
"202",4216803
"203",4207949
"204",4238056
"205",4243369
"206",4707375
"207",4764047
"208",5019068
"209",4188469
"210",4215034
"211",4223890
"212",4473607
"213",4932289
"214",4206180
"215",4480687
"216",4779984
"217",4799467
"218",4992507
"219",5070428
"220",4174303
"221",4184950
"222",4204412
"223",4227433
"224",4275251
"225",4365571
"226",4363801
"227",4820724
"228",4826032
"229",4926981
"230",4950003
"231",5050961
"232",5066887
"233",4160139
"234",4232749
"235",4238060
"236",4246915
"237",4397467
"238",4627682
"239",4884481
"240",4252230
"241",4843743
"242",4985427
"243",4684355
"244",4723316
"245",4806554
"246",4960631
"247",4243381
"248",4303597
"249",4845519
"250",4861456
"251",4950008
"252",5063352
"253",5109432
"254",4062751
"255",4250461
"256",4408096
"257",4526739
"258",4578097
"259",4636543
"260",4849061
"261",4926983
"262",4124721
"263",5102317
"264",4092847
"265",4170769
"266",4482465
"267",4542682
"268",4576328
"269",4613526
"270",4710924
"271",4765825
"272",4849058
"273",4912818
"274",4926986
"275",4211508
"276",4305369
"277",4583416
"278",4824271
"279",4974804
"280",4119413
"281",4238081
"282",4471842
"283",4624148
"284",4941157
"285",4643632
"286",4886248
"287",4925217
"288",5063361
"289",4048580
"290",4229223
"291",4549766
"292",4716241
"293",4834901
"294",4907508
"295",4241615
"296",4473616
"297",4505494
"298",4604670
"299",4875631
"300",4925219
"301",4101705
"302",4092884
"303",4262870
"304",4487792
"305",4544486
"306",4624155
"307",4654259
"308",4794167
"309",4813651
"310",4850840
"311",4896885
"312",4976579
"313",4055676
"314",4163697
"315",4482473
"316",4486013
"317",4501956
"318",4510810
"319",4609983
"320",4859695
"321",4923451
"322",4988978
"323",4994291
"324",5019084
"325",5031487
"326",5116497
"327",4034411
"328",4278808
"329",4438198
"330",4445289
"331",4581668
"332",4919909
"333",5003147
"334",5058051
"335",5066907
