"","x"
"1",-9999
"2",1031406
"3",5089000
"4",4015404
"5",5079000
"6",6e+06
"7",3031406
"8",1031406
"9",5089000
"10",5079000
"11",5079000
"12",3031406
"13",4015404
"14",5089000
"15",4015404
"16",5089000
"17",5079000
"18",1031406
"19",3031406
"20",4015404
"21",4021406
"22",4015404
"23",1031406
"24",1031406
"25",5079000
"26",1031406
"27",1051406
"28",1051406
"29",6e+06
"30",1031406
"31",5079000
"32",3031406
"33",5089000
"34",3031406
"35",4015404
"36",1051406
"37",2031406
"38",5089000
"39",1031406
"40",4015404
"41",1031406
"42",5089000
"43",4015404
"44",5079000
"45",1031406
"46",1051406
"47",5089000
"48",4015404
"49",1051406
"50",4015404
"51",1031406
"52",1031406
"53",1069000
"54",4015404
"55",1051406
"56",1051406
"57",6e+06
"58",4015404
"59",6e+06
"60",1031406
"61",5079000
"62",5079000
"63",4021406
"64",2031406
"65",1031406
"66",5079000
"67",1051406
"68",5079000
"69",1051406
"70",6e+06
"71",5079000
"72",1031406
"73",6e+06
"74",1031406
"75",1031406
"76",6e+06
"77",6e+06
"78",4015404
"79",1031406
"80",6e+06
"81",5089000
"82",5079000
"83",4015404
"84",5079000
"85",1031406
"86",3031406
"87",1051406
"88",6e+06
"89",3031406
"90",6e+06
"91",5079000
"92",5079000
"93",5079000
"94",6e+06
"95",1051406
"96",1031406
"97",1031406
"98",1031406
"99",1031406
"100",5089000
"101",4015404
"102",6e+06
"103",1061401
"104",1031406
"105",4015404
"106",5079000
"107",3031406
"108",5079000
"109",5089000
"110",5079000
"111",5079000
"112",6e+06
"113",5089000
"114",1051406
"115",1031406
"116",4015404
"117",5079000
"118",2031406
"119",5089000
"120",6e+06
"121",4021406
"122",6e+06
"123",5079000
"124",5089000
"125",5099000
"126",6e+06
"127",6e+06
"128",3031406
"129",3031406
"130",2031406
"131",3031406
"132",3031406
"133",3031406
"134",4015404
"135",2031406
"136",3031406
"137",4031406
"138",5079000
"139",1031406
"140",1031406
"141",5099000
"142",4021406
"143",1031406
"144",4015404
"145",5079000
"146",6e+06
"147",5089000
"148",2031406
"149",4015404
"150",5079000
"151",4015404
"152",5089000
"153",5079000
"154",3031406
"155",5079000
"156",5089000
"157",4015404
"158",6e+06
"159",2031406
"160",5089000
"161",6e+06
"162",1031406
"163",5079000
"164",1031406
"165",5079000
"166",1031406
"167",3031406
"168",4015404
"169",1051406
"170",1051406
"171",1051406
"172",4015404
"173",1051406
"174",5089000
"175",1031406
"176",4015404
"177",4015404
"178",4015404
"179",1051406
"180",1051406
"181",4015404
"182",5079000
"183",4015404
"184",4021406
"185",5099000
"186",4015404
"187",6e+06
"188",3031406
"189",1051406
"190",5079000
"191",4015404
"192",4015404
"193",1051406
"194",4015404
"195",4021406
"196",4021406
"197",1031406
"198",5089000
"199",3031406
"200",4015404
"201",6e+06
"202",1031406
"203",6e+06
"204",6e+06
"205",1069000
"206",6e+06
"207",5079000
"208",4015404
"209",6e+06
"210",6e+06
"211",6e+06
"212",3031406
"213",6e+06
"214",6e+06
"215",4015404
"216",1031406
"217",2031406
"218",5079000
"219",1031406
"220",1031406
"221",5079000
"222",1051406
"223",1031406
"224",1031406
"225",4015404
"226",5079000
"227",4021406
"228",3031406
"229",6e+06
"230",5089000
"231",5089000
"232",5079000
"233",1051406
"234",4015404
"235",6e+06
"236",6e+06
"237",1031406
"238",6e+06
"239",4015404
"240",6e+06
"241",4015404
"242",5079000
"243",1051406
"244",5099000
"245",1031406
"246",5079000
"247",1051406
"248",3031406
"249",4015404
"250",4015404
"251",1031406
"252",5079000
"253",1031406
"254",1031406
"255",6e+06
"256",5079000
"257",5079000
"258",1051406
"259",1051406
"260",6e+06
"261",6e+06
"262",1051406
"263",4015404
"264",4021406
"265",4015404
"266",4015404
"267",5089000
"268",6e+06
"269",1031406
"270",6e+06
"271",5089000
"272",1051406
"273",6e+06
"274",6e+06
"275",4015404
"276",1051406
"277",3031406
"278",6e+06
"279",1031406
"280",6e+06
"281",4015404
"282",3031406
"283",5079000
"284",5079000
"285",1031406
"286",1051406
"287",6e+06
"288",2031406
"289",4021406
"290",4015404
"291",1051406
"292",6e+06
"293",1031406
"294",1051406
"295",3031406
"296",4015404
"297",4021406
"298",5079000
"299",5079000
"300",6e+06
"301",6e+06
"302",4021406
"303",5079000
"304",4021406
"305",1051406
"306",4015404
"307",5079000
"308",3031406
"309",4015404
"310",1031406
"311",3031406
"312",2031406
"313",1051406
"314",5079000
"315",1031406
"316",4021406
"317",5079000
"318",5079000
"319",6e+06
"320",6e+06
"321",6e+06
"322",5079000
"323",5099000
"324",5079000
"325",3031406
"326",4015404
"327",1051406
"328",1051406
"329",4021406
"330",4021406
"331",5089000
"332",1031406
"333",1031406
"334",5079000
"335",1051406
"336",6e+06
"337",5089000
"338",4015404
"339",5079000
"340",4021406
"341",1031406
"342",1031406
"343",1031406
"344",5079000
"345",3031406
"346",6e+06
"347",1031406
"348",5079000
"349",2031406
"350",4021406
"351",1051406
"352",6e+06
"353",6e+06
"354",3031406
"355",3031406
"356",5079000
"357",6e+06
"358",1031406
"359",5079000
"360",6e+06
"361",6e+06
"362",4015404
"363",5079000
"364",1031406
"365",6e+06
"366",1051406
"367",3031406
"368",1051406
"369",4015404
"370",4015404
"371",4021406
"372",6e+06
"373",5079000
"374",5079000
"375",5089000
"376",2031406
"377",1031406
"378",5099000
"379",6e+06
"380",6e+06
"381",1051406
"382",2031406
"383",1031406
"384",1051406
"385",3031406
"386",1051406
"387",5079000
"388",5099000
"389",4021406
"390",5079000
"391",1051406
"392",3031406
"393",3031406
"394",1069000
"395",4021406
"396",5079000
"397",6e+06
"398",6e+06
"399",6e+06
"400",6e+06
"401",5079000
"402",5079000
"403",6e+06
"404",5079000
"405",5079000
"406",5089000
"407",5089000
"408",5079000
"409",4015404
"410",6e+06
"411",6e+06
"412",6e+06
"413",6e+06
"414",6e+06
"415",6e+06
"416",5089000
"417",5089000
"418",4015404
"419",1051406
"420",1051406
"421",5079000
"422",5079000
"423",6e+06
"424",4015404
"425",3031406
"426",6e+06
"427",1051406
"428",6e+06
"429",6e+06
"430",5089000
"431",5079000
"432",5089000
"433",4015404
"434",1051406
"435",6e+06
"436",3031406
"437",3031406
"438",5079000
"439",5079000
"440",6e+06
"441",2031406
"442",1051406
"443",5099000
"444",6e+06
"445",1051406
"446",3031406
"447",6e+06
"448",1051406
"449",4021406
"450",5079000
"451",6e+06
"452",3031406
"453",6e+06
"454",4021406
"455",5089000
"456",6e+06
"457",4015404
"458",6e+06
"459",4021406
"460",1031406
"461",6e+06
"462",6e+06
"463",5079000
"464",1031406
"465",4015404
"466",6e+06
"467",3031406
"468",1051406
"469",5079000
"470",6e+06
"471",5079000
"472",4015404
"473",6e+06
"474",5099000
"475",4021406
"476",5079000
"477",5079000
"478",6e+06
"479",1031406
"480",5099000
"481",4015404
"482",6e+06
"483",5079000
"484",6e+06
"485",5079000
"486",4015404
"487",4015404
"488",5089000
"489",5079000
"490",5079000
"491",3031406
"492",1031406
"493",4015404
"494",5079000
"495",6e+06
"496",1031406
"497",5089000
"498",4015404
"499",1031406
"500",5079000
"501",1069000
"502",1051406
"503",3031406
"504",1051406
"505",5089000
"506",4015404
"507",6e+06
"508",5099000
"509",5079000
"510",3031406
"511",1031406
"512",3031406
"513",5079000
"514",6e+06
"515",5079000
"516",1051406
"517",1031406
"518",1069000
"519",1051406
"520",6e+06
"521",1031406
"522",2031406
"523",3031406
"524",5079000
"525",6e+06
"526",1051406
"527",5079000
"528",1031406
"529",2031406
"530",6e+06
"531",5079000
"532",5079000
"533",1031406
"534",3031406
"535",4015404
"536",1051406
"537",1031406
"538",1069000
"539",6e+06
"540",5079000
"541",1031406
"542",1051406
"543",4015404
"544",1031406
"545",5079000
"546",1031406
"547",6e+06
"548",2031406
"549",2031406
"550",5079000
"551",1051406
"552",5099000
"553",4021406
"554",4015404
"555",1051406
"556",6e+06
"557",1031406
"558",4015404
"559",6e+06
"560",5079000
"561",6e+06
"562",1051406
"563",5099000
"564",3015404
"565",5099000
"566",6e+06
"567",6e+06
"568",1051406
"569",3031406
"570",6e+06
"571",6e+06
"572",5099000
"573",5079000
"574",3031406
"575",5089000
"576",1069000
"577",5099000
"578",6e+06
"579",1051406
"580",3015404
"581",4015404
"582",3015404
"583",6e+06
"584",5079000
"585",5079000
"586",4015404
"587",6e+06
"588",5089000
"589",3031406
"590",5089000
"591",5079000
"592",5099000
"593",1051406
"594",5089000
"595",1031406
"596",5089000
"597",1031406
"598",6e+06
"599",5079000
"600",2031406
"601",2031406
"602",6e+06
"603",5079000
"604",3031406
"605",3031406
"606",5089000
"607",5079000
"608",6e+06
"609",5079000
"610",6e+06
"611",1051406
"612",4015404
"613",6e+06
"614",1031406
"615",1051406
"616",1031406
"617",5079000
"618",5079000
"619",5079000
"620",1031406
"621",1031406
"622",2031406
"623",5079000
"624",4015404
"625",6e+06
"626",1031406
"627",4015404
"628",1069000
"629",6e+06
"630",5099000
"631",5099000
"632",6e+06
"633",6e+06
"634",5099000
"635",5089000
"636",1051406
"637",5079000
"638",5079000
"639",2031406
"640",1031406
"641",6e+06
"642",2031406
"643",6e+06
"644",1051406
"645",1051406
"646",3031406
"647",5079000
"648",5079000
"649",4015404
"650",5079000
"651",4015404
"652",5079000
"653",1031406
"654",1069000
"655",1051406
"656",3031406
"657",6e+06
"658",5099000
"659",5099000
"660",5079000
"661",1051406
"662",5079000
"663",1051406
"664",1031406
"665",6e+06
"666",4015404
"667",6e+06
"668",5079000
"669",5089000
"670",1051406
"671",5079000
"672",1051406
"673",6e+06
"674",1051406
"675",1031406
"676",5089000
"677",5079000
"678",6e+06
"679",1031406
"680",5079000
"681",4015404
"682",1051406
"683",3031406
"684",6e+06
"685",3031406
"686",5079000
"687",5089000
"688",4021406
"689",1031406
"690",6e+06
"691",4015404
"692",5089000
"693",6e+06
"694",6e+06
"695",5079000
"696",1051406
