"","x"
"1",-9999
"2",8888
"3",8888
"4",8888
"5",8888
"6",8888
"7",8888
"8",8888
"9",8888
"10",8888
"11",8888
"12",8888
"13",8888
"14",8888
"15",8888
"16",8888
"17",8888
"18",8888
"19",8888
"20",8888
"21",8888
"22",8888
"23",8888
"24",8888
"25",8888
"26",8888
"27",8888
"28",8888
"29",8888
"30",8888
"31",8888
"32",8888
"33",8888
"34",8888
"35",8888
"36",8888
"37",8888
"38",8888
"39",8888
"40",8888
"41",8888
"42",8888
"43",8888
"44",8888
"45",8888
"46",8888
"47",8888
"48",8888
"49",8888
"50",8888
"51",8888
"52",8888
"53",8888
"54",8888
"55",8888
"56",8888
"57",8888
"58",8888
"59",8888
"60",8888
"61",8888
"62",8888
"63",8888
"64",8888
"65",8888
"66",8888
"67",8888
"68",8888
"69",8888
"70",8888
"71",8888
"72",8888
"73",8888
"74",8888
"75",8888
"76",8888
"77",8888
"78",8888
"79",8888
"80",8888
"81",8888
"82",8888
"83",8888
"84",8888
"85",8888
"86",8888
"87",8888
"88",8888
"89",8888
"90",8888
"91",8888
"92",8888
"93",8888
"94",8888
"95",8888
"96",8888
"97",8888
"98",8888
"99",8888
"100",8888
"101",8888
"102",8888
"103",8888
"104",8888
"105",8888
"106",8888
"107",8888
"108",8888
"109",8888
"110",8888
"111",8888
"112",8888
"113",8888
"114",8888
"115",8888
"116",8888
"117",8888
"118",8888
"119",8888
"120",8888
"121",8888
"122",8888
"123",8888
"124",8888
"125",8888
"126",8888
"127",8888
"128",8888
"129",8888
"130",8888
"131",8888
"132",8888
"133",8888
"134",8888
"135",8888
"136",8888
"137",8888
"138",8888
"139",8888
"140",8888
"141",8888
"142",8888
"143",8888
"144",8888
"145",8888
"146",8888
"147",8888
"148",8888
"149",8888
"150",8888
"151",8888
"152",8888
"153",8888
"154",8888
"155",8888
"156",8888
"157",8888
"158",8888
"159",8888
"160",8888
"161",8888
"162",8888
"163",8888
"164",8888
"165",8888
"166",8888
"167",8888
"168",8888
"169",8888
"170",8888
"171",8888
"172",8888
"173",8888
"174",8888
"175",8888
"176",8888
"177",8888
"178",8888
"179",8888
"180",8888
"181",8888
"182",8888
"183",8888
"184",8888
"185",8888
"186",8888
"187",8888
"188",8888
"189",8888
"190",8888
"191",8888
"192",8888
"193",8888
"194",8888
"195",8888
"196",8888
"197",8888
"198",8888
"199",8888
"200",8888
"201",8888
"202",8888
"203",8888
"204",8888
"205",8888
"206",8888
"207",8888
"208",8888
"209",8888
"210",8888
"211",8888
"212",8888
"213",8888
"214",8888
"215",8888
"216",8888
"217",8888
"218",8888
"219",8888
"220",8888
"221",8888
"222",8888
"223",8888
"224",8888
"225",8888
"226",8888
"227",8888
"228",8888
"229",8888
"230",8888
"231",8888
"232",8888
"233",8888
"234",8888
"235",8888
"236",8888
"237",8888
"238",8888
"239",8888
"240",8888
"241",8888
"242",8888
"243",8888
"244",8888
"245",8888
"246",8888
"247",8888
"248",8888
"249",8888
"250",8888
"251",8888
"252",8888
"253",8888
"254",8888
"255",8888
"256",8888
"257",8888
"258",8888
"259",8888
"260",8888
"261",8888
"262",8888
"263",8888
"264",8888
"265",8888
"266",8888
"267",8888
"268",8888
"269",8888
"270",8888
"271",8888
"272",8888
"273",8888
"274",8888
"275",8888
"276",8888
"277",8888
"278",8888
"279",8888
"280",8888
"281",8888
"282",8888
"283",8888
"284",8888
"285",8888
"286",8888
"287",8888
"288",8888
"289",8888
"290",8888
"291",8888
"292",8888
"293",8888
"294",8888
"295",8888
"296",8888
"297",8888
"298",8888
"299",8888
"300",8888
"301",8888
"302",8888
"303",8888
"304",8888
"305",8888
"306",8888
"307",8888
"308",8888
"309",8888
"310",8888
"311",8888
"312",8888
"313",8888
"314",8888
"315",8888
"316",8888
"317",8888
"318",8888
"319",8888
"320",8888
"321",8888
"322",8888
"323",8888
"324",8888
"325",8888
"326",8888
"327",8888
"328",8888
"329",8888
"330",8888
"331",8888
"332",8888
"333",8888
"334",8888
"335",8888
"336",8888
"337",8888
"338",8888
"339",8888
"340",8888
"341",8888
"342",8888
"343",8888
"344",8888
"345",8888
"346",8888
"347",8888
"348",8888
"349",8888
"350",8888
"351",8888
"352",8888
"353",8888
"354",8888
"355",8888
"356",8888
"357",8888
"358",8888
"359",8888
"360",8888
"361",8888
"362",8888
"363",8888
"364",8888
"365",8888
"366",8888
"367",8888
"368",8888
"369",8888
"370",8888
"371",8888
"372",8888
"373",8888
"374",8888
"375",8888
"376",8888
"377",8888
"378",8888
"379",8888
"380",8888
"381",8888
"382",8888
"383",8888
"384",8888
"385",8888
"386",8888
"387",8888
"388",8888
"389",8888
"390",8888
"391",8888
"392",8888
"393",8888
"394",8888
"395",8888
"396",8888
"397",8888
"398",8888
"399",8888
"400",8888
"401",8888
"402",8888
"403",8888
"404",8888
"405",8888
"406",8888
"407",8888
"408",8888
"409",8888
"410",8888
"411",8888
"412",8888
"413",8888
"414",8888
"415",8888
"416",8888
"417",8888
"418",8888
"419",8888
"420",8888
"421",8888
"422",8888
"423",8888
"424",8888
"425",8888
"426",8888
"427",8888
"428",8888
"429",8888
"430",8888
"431",8888
"432",8888
"433",8888
"434",8888
"435",8888
"436",8888
"437",8888
"438",8888
"439",8888
"440",8888
"441",8888
"442",8888
"443",8888
"444",8888
"445",8888
"446",8888
"447",8888
"448",8888
"449",8888
"450",8888
"451",8888
"452",8888
"453",8888
"454",8888
"455",8888
"456",8888
"457",8888
"458",8888
"459",8888
"460",8888
"461",8888
"462",8888
"463",8888
"464",8888
"465",8888
"466",8888
"467",8888
"468",8888
"469",8888
"470",8888
"471",8888
"472",8888
"473",8888
"474",8888
"475",8888
"476",8888
"477",8888
"478",8888
"479",8888
"480",8888
"481",8888
"482",8888
"483",8888
"484",8888
"485",8888
"486",8888
"487",8888
"488",8888
"489",8888
"490",8888
"491",8888
"492",8888
"493",8888
"494",8888
"495",8888
"496",8888
"497",8888
"498",8888
"499",8888
"500",8888
"501",8888
"502",8888
"503",8888
"504",8888
"505",8888
"506",8888
"507",8888
"508",8888
"509",8888
"510",8888
"511",8888
"512",8888
"513",8888
"514",8888
"515",8888
"516",8888
"517",8888
"518",8888
"519",8888
"520",8888
"521",8888
"522",8888
"523",8888
"524",8888
"525",8888
"526",8888
"527",8888
"528",8888
"529",8888
"530",8888
"531",8888
"532",8888
"533",8888
"534",8888
"535",8888
"536",8888
"537",8888
"538",8888
"539",8888
"540",8888
"541",8888
"542",8888
"543",8888
"544",8888
"545",8888
"546",8888
"547",8888
"548",8888
"549",8888
"550",8888
"551",8888
"552",8888
"553",8888
"554",8888
"555",8888
"556",8888
"557",8888
"558",8888
"559",8888
"560",8888
"561",8888
"562",8888
"563",8888
"564",8888
"565",8888
"566",8888
"567",8888
"568",8888
"569",8888
"570",8888
"571",8888
"572",8888
"573",8888
"574",8888
"575",8888
"576",8888
"577",8888
"578",8888
"579",8888
"580",8888
"581",8888
"582",8888
"583",8888
"584",8888
"585",8888
"586",8888
"587",8888
"588",8888
"589",8888
"590",8888
"591",8888
"592",8888
"593",8888
"594",8888
"595",8888
"596",8888
"597",8888
"598",8888
"599",8888
"600",8888
"601",8888
"602",8888
"603",8888
"604",8888
"605",8888
"606",8888
"607",8888
"608",8888
"609",8888
"610",8888
"611",8888
"612",8888
"613",8888
"614",8888
"615",8888
"616",8888
"617",8888
"618",8888
"619",8888
"620",8888
"621",8888
"622",8888
"623",8888
"624",8888
"625",8888
"626",8888
"627",8888
"628",8888
"629",8888
"630",8888
"631",8888
"632",8888
"633",8888
"634",8888
"635",8888
"636",8888
"637",8888
"638",8888
"639",8888
"640",8888
"641",8888
"642",8888
"643",8888
"644",8888
"645",8888
"646",8888
"647",8888
"648",8888
"649",8888
"650",8888
"651",8888
"652",8888
"653",8888
"654",8888
"655",8888
"656",8888
"657",8888
"658",8888
"659",8888
"660",8888
"661",8888
"662",8888
"663",8888
"664",8888
"665",8888
"666",8888
"667",8888
"668",8888
"669",8888
"670",8888
"671",8888
"672",8888
"673",8888
"674",8888
"675",8888
"676",8888
"677",8888
"678",8888
"679",8888
"680",8888
"681",8888
"682",8888
"683",8888
"684",8888
"685",8888
"686",8888
"687",8888
"688",8888
"689",8888
"690",8888
"691",8888
"692",8888
"693",8888
"694",8888
"695",8888
"696",8888
"697",8888
"698",8888
"699",8888
"700",8888
"701",8888
"702",8888
"703",8888
"704",8888
"705",8888
"706",8888
"707",8888
"708",8888
"709",8888
"710",8888
"711",8888
"712",8888
"713",8888
"714",8888
"715",8888
"716",8888
"717",8888
"718",8888
"719",8888
"720",8888
"721",8888
"722",8888
"723",8888
"724",8888
"725",8888
"726",8888
"727",8888
"728",8888
"729",8888
"730",8888
"731",8888
"732",8888
"733",8888
"734",8888
"735",8888
"736",8888
"737",8888
"738",8888
"739",8888
"740",8888
"741",8888
"742",8888
"743",8888
"744",8888
"745",8888
"746",8888
"747",8888
"748",8888
"749",8888
"750",8888
"751",8888
"752",8888
"753",8888
"754",8888
"755",8888
"756",8888
"757",8888
"758",8888
"759",8888
"760",8888
"761",8888
"762",8888
"763",8888
"764",8888
"765",8888
"766",8888
"767",8888
"768",8888
"769",8888
"770",8888
"771",8888
"772",8888
"773",8888
"774",8888
"775",8888
"776",8888
"777",8888
"778",8888
"779",8888
"780",8888
"781",8888
"782",8888
"783",8888
"784",8888
"785",8888
"786",8888
"787",8888
"788",8888
"789",8888
"790",8888
"791",8888
"792",8888
"793",8888
"794",8888
"795",8888
"796",8888
"797",8888
"798",8888
"799",8888
"800",8888
"801",8888
"802",8888
"803",8888
"804",8888
"805",8888
"806",8888
"807",8888
"808",8888
"809",8888
"810",8888
"811",8888
"812",8888
"813",8888
"814",8888
"815",8888
"816",8888
"817",8888
"818",8888
"819",8888
"820",8888
"821",8888
"822",8888
"823",8888
"824",8888
"825",8888
"826",8888
"827",8888
"828",8888
"829",8888
"830",8888
"831",8888
"832",8888
"833",8888
"834",8888
"835",8888
"836",8888
"837",8888
"838",8888
"839",8888
"840",8888
"841",8888
"842",8888
"843",8888
"844",8888
"845",8888
"846",8888
"847",8888
"848",8888
"849",8888
"850",8888
"851",8888
"852",8888
"853",8888
"854",8888
"855",8888
"856",8888
"857",8888
"858",8888
"859",8888
"860",8888
"861",8888
"862",8888
"863",8888
"864",8888
"865",8888
"866",8888
"867",8888
"868",8888
"869",8888
"870",8888
"871",8888
"872",8888
"873",8888
"874",8888
"875",8888
"876",8888
"877",8888
"878",8888
"879",8888
"880",8888
"881",8888
"882",8888
"883",8888
"884",8888
"885",8888
"886",8888
"887",8888
"888",8888
"889",8888
"890",8888
"891",8888
"892",8888
"893",8888
"894",8888
"895",8888
"896",8888
"897",8888
"898",8888
"899",8888
"900",8888
"901",8888
"902",8888
"903",8888
"904",8888
"905",8888
"906",8888
"907",8888
"908",8888
"909",8888
"910",8888
"911",8888
"912",8888
"913",8888
"914",8888
"915",8888
"916",8888
"917",8888
"918",8888
"919",8888
"920",8888
"921",8888
"922",8888
"923",8888
"924",8888
"925",8888
"926",8888
"927",8888
"928",8888
"929",8888
"930",8888
"931",8888
"932",8888
"933",8888
"934",8888
"935",8888
"936",8888
"937",8888
"938",8888
"939",8888
"940",8888
"941",8888
"942",8888
"943",8888
"944",8888
"945",8888
"946",8888
"947",8888
"948",8888
"949",8888
"950",8888
"951",8888
"952",8888
"953",8888
"954",8888
"955",8888
"956",8888
"957",8888
"958",8888
"959",8888
"960",8888
"961",8888
"962",8888
"963",8888
"964",8888
"965",8888
"966",8888
"967",8888
"968",8888
"969",8888
"970",8888
"971",8888
"972",8888
"973",8888
"974",8888
"975",8888
"976",8888
"977",8888
"978",8888
"979",8888
"980",8888
"981",8888
"982",8888
"983",8888
"984",8888
"985",8888
"986",8888
"987",8888
"988",8888
"989",8888
"990",8888
"991",8888
"992",8888
"993",8888
"994",8888
"995",8888
"996",8888
"997",8888
"998",8888
"999",8888
"1000",8888
"1001",8888
"1002",8888
"1003",8888
"1004",8888
"1005",8888
"1006",8888
"1007",8888
"1008",8888
"1009",8888
"1010",8888
"1011",8888
"1012",8888
"1013",8888
"1014",8888
"1015",8888
"1016",8888
"1017",8888
"1018",8888
"1019",8888
"1020",8888
"1021",8888
"1022",8888
"1023",8888
"1024",8888
"1025",8888
"1026",8888
"1027",8888
"1028",8888
"1029",8888
"1030",8888
"1031",8888
"1032",8888
"1033",8888
"1034",8888
"1035",8888
"1036",8888
"1037",8888
"1038",8888
"1039",8888
"1040",8888
"1041",8888
"1042",8888
"1043",8888
"1044",8888
"1045",8888
"1046",8888
"1047",8888
"1048",8888
"1049",8888
"1050",8888
"1051",8888
"1052",8888
"1053",8888
"1054",8888
"1055",8888
"1056",8888
"1057",8888
"1058",8888
"1059",8888
"1060",8888
"1061",8888
"1062",8888
"1063",8888
"1064",8888
"1065",8888
"1066",8888
"1067",8888
"1068",8888
"1069",8888
"1070",8888
"1071",8888
"1072",8888
"1073",8888
"1074",8888
"1075",8888
"1076",8888
"1077",8888
"1078",8888
"1079",8888
"1080",8888
"1081",8888
"1082",8888
"1083",8888
"1084",8888
"1085",8888
"1086",8888
"1087",8888
"1088",8888
"1089",8888
