"","x"
"1",-9999
"2",188
"3",288
"4",388
"5",488
"6",588
"7",688
"8",788
"9",888
"10",988
"11",1088
"12",1188
"13",1288
"14",1388
"15",1488
"16",1588
"17",1688
"18",1788
"19",1888
"20",1988
"21",2088
"22",2188
"23",2288
"24",2388
"25",2488
"26",2588
"27",2688
"28",2788
"29",2888
"30",2988
"31",3088
"32",3188
"33",3288
"34",3388
"35",3488
"36",3588
"37",3688
"38",3788
"39",3888
"40",3988
"41",4088
"42",4188
"43",4288
"44",4388
"45",4488
"46",4588
"47",4688
"48",4788
"49",4888
"50",4988
"51",5088
"52",5188
"53",5288
"54",5388
"55",5488
"56",5588
"57",5688
"58",5788
"59",5888
"60",5988
"61",6088
"62",6188
"63",6288
"64",6388
"65",6488
"66",6588
"67",6688
"68",6788
"69",6888
"70",6988
"71",7088
"72",7188
"73",7288
"74",7388
"75",7488
"76",7588
"77",7688
"78",7788
"79",7888
"80",7988
"81",8088
"82",8188
"83",8288
"84",8388
"85",8488
"86",8588
"87",8688
"88",8788
"89",8888
"90",8988
"91",9088
"92",9188
"93",9288
"94",9388
"95",9488
"96",9588
"97",9688
"98",9788
"99",9888
"100",9988
"101",10088
"102",10188
"103",10288
"104",10388
"105",10488
"106",10588
"107",10688
"108",10788
"109",10888
"110",10988
"111",11088
"112",11188
"113",11288
"114",11388
"115",11488
"116",11588
"117",11688
"118",11788
"119",11888
"120",11988
"121",12088
"122",12188
"123",12288
"124",12388
"125",12488
"126",12588
"127",12688
"128",12788
"129",12888
"130",12988
"131",13088
"132",13188
"133",13288
"134",13388
"135",13488
"136",13588
"137",13688
"138",13788
"139",13888
"140",13988
"141",14088
"142",14188
"143",14288
"144",14388
"145",14488
"146",14588
"147",14688
"148",14788
"149",14888
"150",14988
"151",15088
"152",15188
"153",15288
"154",15388
"155",15488
"156",15588
"157",15688
"158",15788
"159",15888
"160",15988
"161",16088
"162",16188
"163",16288
"164",16388
"165",16488
"166",16588
"167",16688
"168",16788
"169",16888
"170",16988
"171",17088
"172",17188
"173",17288
"174",17388
"175",17488
"176",17588
"177",17688
"178",17788
"179",17888
"180",17988
"181",18088
"182",18188
"183",18288
"184",18388
"185",18488
"186",18588
"187",18688
"188",18788
"189",18888
"190",18988
"191",19088
"192",19188
"193",19288
"194",19388
"195",19488
"196",19588
"197",19688
"198",19788
"199",19888
"200",19988
"201",20088
"202",20188
"203",20288
"204",20388
"205",20488
"206",20588
"207",20688
"208",20788
"209",20888
"210",20988
"211",21088
"212",21188
"213",21288
"214",21388
"215",21488
"216",21588
"217",21688
"218",21788
"219",21888
"220",21988
"221",22088
"222",22188
"223",22288
"224",22388
"225",22488
"226",22588
"227",22688
"228",22788
"229",22888
"230",22988
"231",23088
"232",23188
"233",23288
"234",23388
"235",23488
"236",23588
"237",23688
