"","x"
"1",15
"2",12
"3",22
"4",23
"5",8
"6",2
"7",30
"8",1
"9",3
"10",25
"11",10
"12",4
"13",3
"14",3
"15",2
"16",2
"17",3
"18",26
"19",1
"20",14
"21",25
"22",30
"23",7
"24",18
"25",20
"26",1
"27",30
"28",2
"29",1
"30",3
"31",12
"32",3
"33",3
"34",23
"35",5
"36",21
"37",6
"38",3
"39",21
"40",2
"41",15
"42",2
"43",1
"44",2
"45",10
"46",1
"47",14
"48",28
"49",17
"50",3
"51",18
"52",16
"53",1
"54",29
"55",17
"56",4
"57",22
"58",2
"59",14
"60",15
"61",1
"62",1
"63",9
"64",2
"65",2
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",4
"73",1
"74",3
"75",2
"76",1
"77",2
"78",1
"79",2
"80",2
"81",2
"82",1
"83",1
"84",2
"85",2
"86",3
"87",8
"88",2
"89",3
"90",3
"91",3
"92",1
"93",1
"94",13
"95",5
"96",1
"97",3
"98",1
"99",2
"100",2
"101",1
"102",6
"103",1
"104",3
"105",1
"106",2
"107",2
"108",1
"109",5
"110",5
"111",1
"112",1
"113",3
"114",21
"115",7
"116",1
"117",1
"118",7
"119",1
"120",1
"121",1
"122",3
"123",22
"124",6
"125",3
"126",1
"127",2
"128",6
"129",1
"130",3
"131",2
"132",2
"133",3
"134",2
"135",2
"136",1
"137",1
"138",2
"139",1
"140",1
"141",1
"142",3
"143",3
"144",1
"145",7
"146",1
"147",4
"148",1
"149",1
"150",1
"151",1
"152",4
"153",1
"154",3
"155",2
"156",1
"157",1
"158",1
"159",1
"160",1
"161",2
"162",3
"163",1
"164",2
"165",6
"166",4
"167",4
"168",5
"169",17
"170",2
"171",2
"172",1
"173",1
"174",5
"175",3
"176",3
"177",2
"178",2
"179",1
"180",2
"181",1
"182",2
"183",1
"184",4
"185",1
"186",2
"187",2
"188",1
"189",4
"190",1
"191",5
"192",3
"193",1
"194",2
"195",1
"196",1
"197",1
"198",2
"199",1
"200",2
"201",2
"202",2
"203",5
"204",2
"205",1
"206",1
"207",4
"208",1
"209",1
"210",1
"211",4
"212",1
"213",1
"214",1
"215",1
"216",2
"217",2
"218",1
"219",1
"220",1
"221",1
"222",1
"223",2
"224",3
"225",1
"226",1
"227",2
"228",3
"229",4
"230",2
"231",2
"232",2
"233",7
"234",3
"235",1
"236",3
"237",2
"238",1
"239",3
"240",5
"241",2
"242",3
"243",1
"244",1
"245",1
"246",4
"247",1
"248",1
"249",1
"250",2
"251",2
"252",1
"253",3
"254",1
"255",1
"256",1
"257",11
"258",8
"259",2
"260",2
"261",1
"262",1
"263",12
"264",7
"265",5
"266",1
"267",3
"268",4
"269",1
"270",1
"271",2
"272",1
"273",5
"274",4
"275",1
"276",4
"277",1
"278",27
"279",1
"280",1
"281",1
"282",1
"283",1
"284",5
"285",2
"286",1
"287",1
"288",2
"289",2
"290",1
"291",1
"292",3
"293",1
"294",1
"295",1
"296",9
"297",2
"298",2
"299",3
"300",14
"301",1
"302",11
"303",2
"304",7
"305",1
"306",1
"307",2
"308",1
"309",1
"310",1
"311",2
"312",2
"313",3
"314",3
"315",1
"316",3
"317",1
"318",3
"319",2
"320",1
"321",3
"322",9
"323",2
"324",8
"325",1
"326",2
"327",21
"328",12
"329",3
"330",9
"331",12
"332",14
"333",2
"334",1
"335",1
"336",1
"337",1
