BurnBlock,Area,BANSA,CCA,NotCCA,MIST,NS,RS,TestArea
-9999,1470114,1,1,1,1,1,1,1
101,709,1,1,2,1,1,1,1
103,2559,1,1,2,1,1,1,1
112,833,1,1,2,1,1,1,1
115,1480,1,1,2,1,1,1,1
121,622,1,1,2,1,1,1,1
132,11674,1,1,2,2,1,1,2
134,786,1,1,2,2,1,1,2
135,4751,1,1,2,2,1,1,2
136,363,1,1,2,1,1,1,1
138,512,1,1,2,1,1,1,1
142,995,1,1,2,2,1,1,2
144,1820,1,1,2,1,1,1,2
145,3339,1,1,2,1,1,1,1
146,3566,1,1,2,1,1,1,1
153,443,1,1,2,1,1,1,1
163,3723,1,1,2,2,1,1,2
164,2393,1,1,2,1,1,1,1
171,1349,1,1,2,1,1,1,1
182,1395,1,1,2,2,1,1,2
192,295,1,1,2,1,1,1,2
200,669,1,1,2,1,1,1,2
203,777,1,1,2,2,1,1,2
209,946,1,2,1,1,1,1,2
214,1731,1,1,2,1,1,1,1
226,2735,1,1,2,1,2,1,2
250,1814,2,1,2,1,1,1,2
252,7366,1,2,1,1,1,1,1
254,2271,1,1,2,1,1,1,1
258,327,1,1,2,1,1,1,1
259,2504,1,1,2,1,1,1,1
274,5799,1,1,2,2,1,1,2
282,522,1,1,2,1,1,1,2
283,211,1,2,1,2,1,1,1
285,753,1,1,2,1,1,1,1
290,1610,1,2,1,1,1,1,1
295,615,1,1,2,1,1,1,1
297,2931,2,1,2,1,1,1,2
298,4728,1,1,2,1,1,1,1
305,3498,1,1,2,1,1,1,1
307,2724,1,2,1,1,1,1,1
328,1379,1,2,1,1,1,1,1
329,1967,1,1,2,1,1,1,2
332,1428,2,1,2,1,1,1,2
333,46815,1,1,2,1,1,1,2
336,622,1,1,2,1,1,1,2
337,15862,1,1,2,1,1,1,2
338,720,1,1,2,1,1,1,1
346,1545,1,1,2,1,1,1,1
349,5082,1,1,2,1,1,1,1
350,645,1,1,2,1,1,1,1
351,835,1,1,2,1,1,1,1
352,10207,1,1,2,1,1,1,1
355,1500,2,1,2,1,1,1,2
360,243,1,2,1,1,1,1,1
361,483,1,1,2,1,1,1,2
362,5897,1,1,2,1,1,1,1
363,2198,1,1,2,1,1,1,1
364,500,1,2,1,1,1,1,1
365,581,1,1,2,1,1,1,1
366,244,1,1,2,1,1,1,1
1000,1035,1,2,1,1,1,1,1
1001,1098,1,2,1,1,1,1,1
1002,892,1,2,1,1,1,1,1
1003,562,1,2,1,1,1,1,1
1004,523,1,2,1,1,1,1,1
1005,2114,1,2,1,1,1,1,1
1006,2543,1,2,1,1,1,1,1
1007,545,1,2,1,1,1,1,1
1008,1226,1,2,1,1,1,1,1
1009,870,1,2,1,1,1,1,1
1010,576,1,2,1,1,1,1,1
1011,1141,1,2,1,1,1,1,1
1012,919,1,2,1,1,1,1,1
1013,936,1,2,1,1,1,1,1
1014,847,1,2,1,1,1,1,1
1015,406,1,2,1,1,1,1,1
