fuelbed,more_fire,less_fire1,less_fire2,crown_fire,mfri_start,mfri_end
1011101,1011101,1011201,-1,1011101,1,3
1011102,1011102,1011202,-1,1011101,1,3
1011103,1011103,1011203,-1,1011101,1,3
1011104,1011104,1011204,-1,1011101,1,3
1011105,1011105,1011205,-1,1011101,1,3
1011106,1011106,1011206,-1,1011101,1,3
1011201,1011101,1011301,-1,1011101,4,8
1011202,1011102,1011302,-1,1011101,4,8
1011203,1011103,1011303,-1,1011101,4,8
1011204,1011104,1011304,-1,1011101,4,8
1011205,1011105,1011305,-1,1011101,4,8
1011206,1011106,1011306,-1,1011101,4,8
1011301,1011201,1051401,-1,1011101,9,20
1011302,1011202,1051402,-1,1011101,9,20
1011303,1011203,1051403,-1,1011101,9,20
1011304,1011204,1051404,-1,1011101,9,20
1011305,1011205,1051405,-1,1011101,9,20
1011306,1011206,1051406,-1,1011101,9,20
1012101,1012101,1012201,-1,1011101,1,3
1012102,1012102,1012202,-1,1011101,1,3
1012103,1012103,1012203,-1,1011101,1,3
1012104,1012104,1012204,-1,1011101,1,3
1012105,1012105,1012205,-1,1011101,1,3
1012106,1012106,1012206,-1,1011101,1,3
1012201,1012101,1012301,-1,1011101,4,8
1012202,1012102,1012302,-1,1011101,4,8
1012203,1012103,1012303,-1,1011101,4,8
1012204,1012104,1012304,-1,1011101,4,8
1012205,1012105,1012305,-1,1011101,4,8
1012206,1012106,1012306,-1,1011101,4,8
1012301,1012201,1012401,-1,1011101,9,20
1012302,1012202,1012402,-1,1011101,9,20
1012303,1012203,1012403,-1,1011101,9,20
1012304,1012204,1012404,-1,1011101,9,20
1012305,1012205,1012405,-1,1011101,9,20
1012306,1012206,1012406,-1,1011101,9,20
1012401,1012301,1012401,-1,1011101,21,32
1012402,1012302,1012402,-1,1011101,21,32
1012403,1012303,1012403,-1,1011101,21,32
1012404,1012304,1012404,-1,1011101,21,32
1012405,1012305,1012405,-1,1011101,21,32
1012406,1012306,1012406,-1,1011101,21,32
1013101,1013101,1013201,-1,1011101,1,3
1013102,1013102,1013202,-1,1011101,1,3
1013103,1013103,1013203,-1,1011101,1,3
1013104,1013104,1013204,-1,1011101,1,3
1013105,1013105,1013205,-1,1011101,1,3
1013106,1013106,1013206,-1,1011101,1,3
1013201,1013101,1013301,-1,1011101,4,8
1013202,1013102,1013302,-1,1011101,4,8
1013203,1013103,1013303,-1,1011101,4,8
1013204,1013104,1013304,-1,1011101,4,8
1013205,1013105,1013305,-1,1011101,4,8
1013206,1013106,1013306,-1,1011101,4,8
1013301,1013201,1013401,-1,1011101,9,20
1013302,1013202,1013402,-1,1011101,9,20
1013303,1013203,1013403,-1,1011101,9,20
1013304,1013204,1013404,-1,1011101,9,20
1013305,1013205,1013405,-1,1011101,9,20
1013306,1013206,1013406,-1,1011101,9,20
1013401,1013301,1013401,-1,1011101,21,32
1013402,1013302,1013402,-1,1011101,21,32
1013403,1013303,1013403,-1,1011101,21,32
1013404,1013304,1013404,-1,1011101,21,32
1013405,1013305,1013405,-1,1011101,21,32
1013406,1013306,1013406,-1,1011101,21,32
1014101,1014101,1014201,-1,1011101,1,3
1014102,1014102,1014202,-1,1011101,1,3
1014103,1014103,1014203,-1,1011101,1,3
1014104,1014104,1014204,-1,1011101,1,3
1014105,1014105,1014205,-1,1011101,1,3
1014106,1014106,1014206,-1,1011101,1,3
1014201,1014101,1014301,-1,1011101,4,8
1014202,1014102,1014302,-1,1011101,4,8
1014203,1014103,1014303,-1,1011101,4,8
1014204,1014104,1014304,-1,1011101,4,8
1014205,1014105,1014305,-1,1011101,4,8
1014206,1014106,1014306,-1,1011101,4,8
1014301,1014201,1014401,-1,1011101,9,20
1014302,1014202,1014402,-1,1011101,9,20
1014303,1014203,1014403,-1,1011101,9,20
1014304,1014204,1014404,-1,1011101,9,20
1014305,1014205,1014405,-1,1011101,9,20
1014306,1014206,1014406,-1,1011101,9,20
1014401,1014301,1014401,-1,1011101,21,32
1014402,1014302,1014402,-1,1011101,21,32
1014403,1014303,1014403,-1,1011101,21,32
1014404,1014304,1014404,-1,1011101,21,32
1014405,1014305,1014405,-1,1011101,21,32
1014406,1014306,1014406,-1,1011101,21,32
1015101,1015101,1015201,-1,1015401,1,3
1015102,1015102,1015202,-1,1015401,1,3
1015103,1015103,1015203,-1,1015401,1,3
1015104,1015104,1015204,-1,1015401,1,3
1015201,1015101,1015301,-1,1015401,4,8
1015202,1015102,1015302,-1,1015401,4,8
1015203,1015103,1015303,-1,1015401,4,8
1015204,1015104,1015304,-1,1015401,4,8
1015301,1015201,1015401,-1,1015401,9,20
1015302,1015302,1015402,-1,1015401,9,20
1015303,1015203,1015403,-1,1015401,9,20
1015304,1015204,1015404,-1,1015401,9,20
1015401,1015401,1015401,-1,1015401,21,32
1015402,1015302,1015402,-1,1015401,21,32
1015403,1015303,1015403,-1,1015401,21,32
1015404,1015304,1015404,-1,1015401,21,32
1016101,1016101,1016201,-1,4041401,1,3
1016102,1016102,1016202,-1,4041401,1,3
1016103,1016103,1016203,-1,1015401,1,3
1016104,1016104,1016204,-1,1015401,1,3
1016201,1016201,1016201,-1,1015401,4,8
1016202,1016202,1016202,-1,1015401,4,8
1016203,1016103,1016303,-1,1015401,4,8
1016204,1016104,1016304,-1,1015401,4,8
1016301,1016301,1016401,-1,4041401,9,20
1016302,1016302,1016402,-1,1015401,9,20
1016303,1016203,1016403,-1,1015401,9,20
1016304,1016204,1016404,-1,1015401,9,20
1016401,1016401,1016401,-1,1015401,21,32
1016402,1016302,1016402,-1,1015401,21,32
1016403,1016303,1016403,-1,1015401,21,32
1016404,1016304,1016404,-1,1015401,21,32
1017101,1017101,1017201,-1,4041401,1,3
1017102,1017102,1017202,-1,4041401,1,3
1017103,1017103,1017203,-1,1015401,1,3
1017104,1017104,1017204,-1,1015401,1,3
1017201,1017101,1017301,-1,4041401,4,8
1017202,1017102,1017302,-1,4041401,4,8
1017203,1017103,1017303,-1,1015401,4,8
1017204,1017104,1017304,-1,1015401,4,8
1017301,1017301,1017401,-1,4041401,9,20
1017302,1017302,1017402,-1,1015401,9,20
1017303,1017203,1017403,-1,1015401,9,20
1017304,1017204,1017404,-1,1015401,9,20
1017401,1017401,1017401,-1,1015401,21,32
1017402,1017302,1017402,-1,1015401,21,32
1017403,1017303,1017403,-1,1015401,21,32
1017404,1017304,1017404,-1,1015401,21,32
1018101,1018101,1018201,-1,4041401,1,3
1018102,1018102,1018202,-1,4041401,1,3
1018103,1018103,1018203,-1,1015401,1,3
1018104,1018104,1018204,-1,1015401,1,3
1018201,1018101,1018301,-1,4041401,4,8
1018202,1018102,1018302,-1,4041401,4,8
1018203,1018103,1018303,-1,1015401,4,8
1018204,1018104,1018304,-1,1015401,4,8
1018301,1018301,1018401,-1,4041401,9,20
1018302,1018302,1018402,-1,1015401,9,20
1018303,1018203,1018403,-1,1015401,9,20
1018304,1018204,1018404,-1,1015401,9,20
1018401,1018401,1018401,-1,1015401,21,32
1018402,1018302,1018402,-1,1015401,21,32
1018403,1018303,1018403,-1,1015401,21,32
1018404,1018304,1018404,-1,1015401,21,32
1031401,1031401,1031401,-1,1031401,21,32
1031402,1031402,1031402,-1,1031401,21,32
1031403,1031403,1031403,-1,1031401,21,32
1031404,1031404,1031404,-1,1031401,21,32
1031405,1031405,1031405,-1,1031401,21,32
1031406,1031406,1031406,-1,1031401,21,32
1032101,1032101,1032201,-1,1031401,1,3
1032102,1032102,1032202,-1,1031401,1,3
1032103,1032103,1032203,-1,1031401,1,3
1032104,1032104,1032204,-1,1031401,1,3
1032105,1032105,1032205,-1,1031401,1,3
1032106,1032106,1032206,-1,1031401,1,3
1032201,1032101,1032301,-1,1031401,4,8
1032202,1032102,1032302,-1,1031401,4,8
1032203,1032103,1032303,-1,1031401,4,8
1032204,1032104,1032304,-1,1031401,4,8
1032205,1032105,1032305,-1,1031401,4,8
1032206,1032106,1032306,-1,1031401,4,8
1032301,1032201,1032401,-1,1031401,9,20
1032302,1032202,1032402,-1,1031401,9,20
1032303,1032203,1032403,-1,1031401,9,20
1032304,1032204,1032404,-1,1031401,9,20
1032305,1032205,1032405,-1,1031401,9,20
1032306,1032206,1032406,-1,1031401,9,20
1032401,1012301,1032401,-1,1031401,21,32
1032402,1012302,1032402,-1,1031401,21,32
1032403,1012303,1032403,-1,1031401,21,32
1032404,1012304,1032404,-1,1031401,21,32
1032405,1012305,1032405,-1,1031401,21,32
1032406,1012306,1032406,-1,1031401,21,32
1033101,1033101,1033201,-1,1031401,1,3
1033102,1033102,1033202,-1,1031401,1,3
1033103,1033103,1033203,-1,1031401,1,3
1033104,1033104,1033204,-1,1031401,1,3
1033105,1033105,1033205,-1,1031401,1,3
1033106,1033106,1033206,-1,1031401,1,3
1033201,1033101,1033301,-1,1031401,4,8
1033202,1033102,1033302,-1,1031401,4,8
1033203,1033103,1033303,-1,1031401,4,8
1033204,1033104,1033304,-1,1031401,4,8
