fuelbed,thin,herb,rxfire,eligibility_1,eligibility_2,eligibility_3,treatability_1,treatability_2,treatability_3
1011101,1011101,1011101,1011101,1,1,2,1,1,2
1011102,1011102,1011102,1011102,1,1,2,1,1,2
1011103,1011103,1011103,1011103,1,1,2,1,1,2
1011104,1011104,1011104,1011104,1,1,2,1,1,2
1011105,1011105,1011105,1011105,1,1,2,1,1,2
1011106,1011106,1011106,1011106,1,1,2,1,1,2
1011201,1011201,1011201,1011101,1,1,2,1,1,2
1011202,1011202,1011202,1011102,1,1,2,1,1,2
1011203,1011203,1011203,1011103,1,1,2,1,1,2
1011204,1011204,1011204,1011104,1,1,2,1,1,2
1011205,1011205,1011205,1011105,1,1,2,1,1,2
1011206,1011206,1011206,1011106,1,1,2,1,1,2
1011301,1011301,1011301,1011201,1,1,2,1,1,2
1011302,1011302,1013302,1011202,1,2,2,1,2,2
1011303,1012303,1013303,1011203,2,2,2,2,2,2
1011304,1012304,1013304,1011204,2,2,2,2,2,2
1011305,1012305,1013305,1011205,2,2,2,2,2,2
1011306,1012306,1013306,1011206,2,2,2,2,2,2
1012101,1012101,1012101,1012101,1,1,2,1,1,2
1012102,1012102,1012102,1012102,1,1,2,1,1,2
1012103,1012103,1012103,1012103,1,1,2,1,1,2
1012104,1012104,1012104,1012104,1,1,2,1,1,2
1012105,1012105,1012105,1012105,1,1,2,1,1,2
1012106,1012106,1012106,1012106,1,1,2,1,1,2
1012201,1012201,1012201,1012101,1,1,2,1,1,2
1012202,1012202,1012202,1012102,1,1,2,1,1,2
1012203,1012203,1012203,1012103,1,1,2,1,1,2
1012204,1012204,1012204,1012104,1,1,2,1,1,2
1012205,1012205,1012205,1012105,1,1,2,1,1,2
1012206,1012206,1012206,1012106,1,1,2,1,1,2
1012301,1012301,1013301,1012201,1,2,2,1,2,2
1012302,1012302,1013302,1012202,1,2,2,1,2,2
1012303,1012303,1013303,1012203,1,2,2,1,2,2
1012304,1012304,1013304,1012204,1,2,2,1,2,2
1012305,1012305,1013305,1012205,1,2,2,1,2,2
1012306,1012306,1013306,1012206,1,2,2,1,2,2
1012401,1012401,1013401,1012301,1,2,2,1,2,2
1012402,1012402,1013402,1012302,1,2,2,1,2,2
1012403,1012403,1013403,1012303,1,2,2,1,2,2
1012404,1012404,1013404,1012304,1,2,2,1,2,2
1012405,1012405,1013405,1012305,1,2,2,1,2,2
1012406,1012406,1013406,1012306,1,2,2,1,2,2
1013101,1013101,1013101,1013101,1,1,2,1,1,2
1013102,1013102,1013102,1013102,1,1,2,1,1,2
1013103,1013103,1013103,1013103,1,1,2,1,1,2
1013104,1013104,1013104,1013104,1,1,2,1,1,2
1013105,1013105,1013105,1013105,1,1,2,1,1,2
1013106,1013106,1013106,1013106,1,1,2,1,1,2
1013201,1013201,1013201,1013101,1,1,2,1,1,2
1013202,1013202,1013202,1013102,1,1,2,1,1,2
1013203,1013203,1013203,1013103,1,1,2,1,1,2
1013204,1013204,1013204,1013104,1,1,2,1,1,2
1013205,1013205,1013205,1013105,1,1,2,1,1,2
1013206,1013206,1013206,1013106,1,1,2,1,1,2
1013301,1012301,1013301,1013201,2,1,2,2,1,2
1013302,1012302,1013302,1013202,2,1,2,2,1,2
1013303,1012303,1013303,1013203,2,1,2,2,1,2
1013304,1012304,1013304,1013204,2,1,2,2,1,2
1013305,1012305,1013305,1013205,2,1,2,2,1,2
1013306,1012306,1013306,1013206,2,1,2,2,1,2
1013401,1012401,1013401,1013301,2,1,2,2,1,2
1013402,1012402,1013402,1013302,2,1,2,2,1,2
1013403,1012403,1013403,1013303,2,1,2,2,1,2
1013404,1012404,1013404,1013304,2,1,2,2,1,2
1013405,1012405,1013405,1013305,2,1,2,2,1,2
1013406,1012406,1013406,1013306,2,1,2,2,1,2
1014101,1014101,1014101,1014101,1,1,2,1,1,2
1014102,1014102,1014102,1014102,1,1,2,1,1,2
1014103,1014103,1014103,1014103,1,1,2,1,1,2
1014104,1014104,1014104,1014104,1,1,2,1,1,2
1014105,1014105,1014105,1014105,1,1,2,1,1,2
1014106,1014106,1014106,1014106,1,1,2,1,1,2
1014201,1014201,1014201,1014101,1,1,2,1,1,2
1014202,1014202,1014202,1014102,1,1,2,1,1,2
1014203,1014203,1014203,1014103,1,1,2,1,1,2
1014204,1014204,1014204,1014104,1,1,2,1,1,2
1014205,1014205,1014205,1014105,1,1,2,1,1,2
1014206,1014206,1014206,1014106,1,1,2,1,1,2
1014301,1012301,1013301,1014201,2,2,2,2,2,2
1014302,1012302,1013302,1014202,2,2,2,2,2,2
