pre,post_1,post_2,start,end,,
1011101,1011102,-1,0,10,,
1011102,1011103,-1,11,20,,
1011103,1011104,-1,21,40,,
1011104,1011105,-1,41,60,,
1011105,1011106,-1,61,100,,
1011106,-1,-1,101,999999999,,
1011201,1011202,-1,0,10,,
1011202,1011203,-1,11,20,,
1011203,1011204,-1,21,40,,
1011204,1011205,-1,41,60,,
1011205,1011206,-1,61,100,,
1011206,-1,-1,101,999999999,,
1011301,1011302,-1,0,10,,
1011302,1011303,-1,11,20,,
1011303,1011304,-1,21,40,,
1011304,1011305,-1,41,60,,
1011305,1011306,-1,61,100,,
1011306,-1,-1,101,999999999,,
1012101,1012102,-1,0,10,,
1012102,1012103,-1,11,20,,
1012103,1012104,-1,21,40,,
1012104,1012105,-1,41,60,,
1012105,1012106,-1,61,100,,
1012106,-1,-1,101,999999999,,
1012201,1012202,-1,0,10,,
1012202,1012203,-1,11,20,,
1012203,1012204,-1,21,40,,
1012204,1012205,-1,41,60,,
1012205,1012206,-1,61,100,,
1012206,-1,-1,101,999999999,,
1012301,1012302,-1,0,10,,
1012302,1012303,-1,11,20,,
1012303,1012304,-1,21,40,,
1012304,1012305,-1,41,60,,
1012305,1012306,-1,61,100,,
1012306,-1,-1,101,999999999,,
1012401,1012402,-1,0,10,,
1012402,1012403,-1,11,20,,
1012403,1012404,-1,21,40,,
1012404,1012405,-1,41,60,,
1012405,1012406,-1,61,100,,
1012406,-1,-1,101,999999999,,
1013101,1013102,-1,0,10,,
1013102,1013103,-1,11,20,,
1013103,1013104,-1,21,40,,
1013104,1013105,-1,41,60,,
1013105,1013106,-1,61,100,,
1013106,-1,-1,101,999999999,,
1013201,1013202,-1,0,10,,
1013202,1013203,-1,11,20,,
1013203,1013204,-1,21,40,,
1013204,1013205,-1,41,60,,
1013205,1013206,-1,61,100,,
1013206,-1,-1,101,999999999,,
1013301,1013302,-1,0,10,,
1013302,1013303,-1,11,20,,
1013303,1013304,-1,21,40,,
1013304,1013305,-1,41,60,,
1013305,1013306,-1,61,100,,
1013306,-1,-1,101,999999999,,
1013401,1013402,-1,0,10,,
1013402,1013403,-1,11,20,,
1013403,1013404,-1,21,40,,
1013404,1013405,-1,41,60,,
1013405,1013406,-1,61,100,,
1013406,-1,-1,101,999999999,,
1014101,1014102,-1,0,10,,
1014102,1014103,-1,11,20,,
1014103,1014104,-1,21,40,,
1014104,1014105,-1,41,60,,
1014105,1014106,-1,61,100,,
1014106,-1,-1,101,999999999,,
1014201,1014202,-1,0,10,,
1014202,1014203,-1,11,20,,
1014203,1014204,-1,21,40,,
1014204,1014205,-1,41,60,,
1014205,1014206,-1,61,100,,
1014206,-1,-1,101,999999999,,
1014301,1014302,-1,0,10,,
1014302,1014303,-1,11,20,,
1014303,1014304,-1,21,40,,
1014304,1014305,-1,41,60,,
1014305,1014306,-1,61,100,,
1014306,-1,-1,101,999999999,,
1014401,1014402,-1,0,10,,
1014402,1014403,-1,11,20,,
1014403,1014404,-1,21,40,,
1014404,1014405,-1,41,60,,
1014405,1014406,-1,61,100,,
1014406,-1,-1,101,999999999,,
1015101,1015102,-1,0,10,,
1015102,1015103,-1,11,20,,
1015103,1015104,-1,21,40,,
1015104,1011105,-1,41,60,,
1015201,1015202,-1,0,10,,
1015202,1015203,-1,11,20,,
1015203,1015204,-1,21,40,,
1015204,1011205,-1,41,60,,
1015301,1015302,-1,0,10,,
1015302,1015303,-1,11,20,,
1015303,1015304,-1,21,40,,
