fuelbed,post_1,max_tslt
1011101,1011101,999999
1011102,1011102,999999
1011103,1011103,999999
1011104,1011104,999999
1011105,1011105,999999
1011106,1011106,999999
1011201,1011201,999999
1011202,1011202,999999
1011203,1011203,999999
1011204,1011204,999999
1011205,1011205,999999
1011206,1011206,999999
1011301,1011301,999999
1011302,1011302,999999
1011303,1011303,999999
1011304,1011304,999999
1011305,1011305,999999
1011306,1011306,999999
1012101,1011101,0
1012102,1011102,0
1012103,1011103,0
1012104,1011104,0
1012105,1011105,0
1012106,1011106,0
1012201,1011201,0
1012202,1011202,0
1012203,1011203,0
1012204,1011204,0
1012205,1011205,0
1012206,1011206,0
1012301,1011301,0
1012302,1011302,0
1012303,1011303,0
1012304,1011304,0
1012305,1011305,0
1012306,1011306,0
1012401,1011301,0
1012402,1011302,0
1012403,1011303,0
1012404,1011304,0
1012405,1011305,0
1012406,1011306,0
1013101,1011101,0
1013102,1011102,0
1013103,1011103,0
1013104,1011104,0
1013105,1011105,0
1013106,1011106,0
1013201,1011201,0
1013202,1011202,0
1013203,1011203,0
1013204,1011204,0
1013205,1011205,0
1013206,1011206,0
1013301,1011301,0
1013302,1011302,0
1013303,1011303,0
1013304,1011304,0
1013305,1011305,0
1013306,1011306,0
1013401,1011301,0
1013402,1011302,0
1013403,1011303,0
1013404,1011304,0
1013405,1011305,0
1013406,1011306,0
1014101,1011101,0
1014102,1011102,0
1014103,1011103,0
1014104,1011104,0
1014105,1011105,0
1014106,1011106,0
1014201,1011201,0
1014202,1011202,0
1014203,1011203,0
1014204,1011204,0
1014205,1011205,0
1014206,1011206,0
1014301,1011301,0
1014302,1011302,0
1014303,1011303,0
1014304,1011304,0
1014305,1011305,0
1014306,1011306,0
1014401,1011301,0
1014402,1011302,0
1014403,1011303,0
1014404,1011304,0
1014405,1011305,0
1014406,1011306,0
1015101,1015401,9999
1015102,1015302,9999
1015103,1015103,9999
1015104,1015104,9999
1015201,1015401,9999
1015202,1015302,9999
1015203,1015203,9999
1015204,1015204,9999
1015301,1015401,9999
1015302,1015302,9999
1015303,1015303,9999
1015304,1015304,9999
1015401,1015401,9999
1015402,1015402,9999
1015403,1015403,9999
1015404,1015404,9999
1016101,1015401,0
1016102,1015302,0
1016103,1015103,0
1016104,1015104,0
1016201,1015401,0
1016202,1015302,0
1016203,1015203,0
1016204,1015204,0
1016301,1015401,0
1016302,1015302,0
1016303,1015303,0
1016304,1015304,0
1016401,1015401,0
1016402,1015402,0
1016403,1015403,0
1016404,1015404,0
1017101,1015401,0
1017102,1015302,0
1017103,1015103,0
1017104,1015104,0
1017201,1015401,0
1017202,1015302,0
1017203,1015203,0
1017204,1015204,0
1017301,1015401,0
1017302,1015302,0
1017303,1015303,0
1017304,1015304,0
1017401,1015401,0
1017402,1015402,0
1017403,1015403,0
1017404,1015404,0
1018101,1015401,0
1018102,1015302,0
1018103,1015103,0
1018104,1015104,0
1018201,1015401,0
1018202,1015302,0
1018203,1015203,0
1018204,1015204,0
1018301,1015401,0
1018302,1015302,0
1018303,1015303,0
1018304,1015304,0
1018401,1015401,0
1018402,1015402,0
1018403,1015403,0
1018404,1015404,0
1031401,1031401,9999
1031402,1031402,9999
1031403,1031403,9999
1031404,1031404,9999
1031405,1031405,9999
1031406,1031406,9999
1032101,1031401,0
1032102,1031402,0
1032103,1031403,0
1032104,1031404,0
1032105,1031405,0
1032106,1031406,0
1032201,1031401,0
1032202,1031402,0
1032203,1031403,0
1032204,1031404,0
1032205,1031405,0
1032206,1031406,0
1032301,1031401,0
1032302,1031402,0
1032303,1031403,0
1032304,1031404,0
1032305,1031405,0
1032306,1031406,0
1032401,1031401,0
1032402,1031402,0
1032403,1031403,0
1032404,1031404,0
1032405,1031405,0
1032406,1031406,0
1033101,1031401,0
1033102,1031402,0
1033103,1031403,0
1033104,1031404,0
1033105,1031405,0
1033106,1031406,0
1033201,1031401,0
1033202,1031402,0
1033203,1031403,0
1033204,1031404,0
1033205,1031405,0
1033206,1031406,0
1033301,1031401,0
1033302,1031402,0
1033303,1031403,0
1033304,1031404,0
1033305,1031405,0
1033306,1031406,0
1033401,1031401,0
1033402,1031402,0
1033403,1031403,0
1033404,1031404,0
1033405,1031405,0
1033406,1031406,0
1034101,1031401,0
1034102,1031402,0
1034103,1031403,0
1034104,1031404,0
1034105,1031405,0
1034106,1031406,0
1034201,1031401,0
1034202,1031402,0
1034203,1031403,0
1034204,1031404,0
1034205,1031405,0
1034206,1031406,0
1034301,1031401,0
1034302,1031402,0
1034303,1031403,0
1034304,1031404,0
1034305,1031405,0
1034306,1031406,0
1034401,1031401,0
1034402,1031402,0
1034403,1031403,0
1034404,1031404,0
1034405,1031405,0
1034406,1031406,0
1051401,1051401,9999
1051402,1051402,9999
1051403,1051403,9999
1051404,1051404,9999
1051405,1051405,9999
1051406,1051406,9999
1052101,1051401,0
1052102,1051402,0
1052103,1051403,0
1052104,1051404,0
1052105,1051405,0
1052106,1051406,0
1052201,1051401,0
1052202,1051402,0
1052203,1051403,0
1052204,1051404,0
1052205,1051405,0
1052206,1051406,0
1052301,1051401,0
1052302,1051402,0
1052303,1051403,0
1052304,1051404,0
1052305,1051405,0
1052306,1051406,0
1052401,1051401,0
1052402,1051402,0
1052403,1051403,0
1052404,1051404,0
1052405,1051405,0
1052406,1051406,0
1053101,1051401,0
1053102,1051402,0
1053103,1051403,0
1053104,1051404,0
1053105,1051405,0
1053106,1051406,0
1053201,1051401,0
1053202,1051402,0
1053203,1051403,0
1053204,1051404,0
1053205,1051405,0
1053206,1051406,0
1053301,1051401,0
1053302,1051402,0
1053303,1051403,0
1053304,1051404,0
1053305,1051405,0
1053306,1051406,0
1053401,1051401,0
1053402,1051402,0
1053403,1051403,0
1053404,1051404,0
1053405,1051405,0
1053406,1051406,0
1054101,1051401,0
1054102,1051402,0
1054103,1051403,0
1054104,1051404,0
1054105,1051405,0
1054106,1051406,0
1054201,1051401,0
1054202,1051402,0
1054203,1051403,0
1054204,1051404,0
1054205,1051405,0
1054206,1051406,0
1054301,1051401,0
1054302,1051402,0
1054303,1051403,0
1054304,1051404,0
1054305,1051405,0
1054306,1051406,0
1054401,1051401,0
1054402,1051402,0
1054403,1051403,0
1054404,1051404,0
1054405,1051405,0
1054406,1051406,0
1061401,1061401,9999
1069000,1069000,9999
1071401,1071401,9999
2011101,2011101,9999
2011102,2011102,9999
2011103,2011103,9999
2011104,2011104,9999
2011105,2011105,9999
2011106,2011106,9999
2011201,2011201,9999
2011202,2011202,9999
2011203,2011203,9999
2011204,2011204,9999
2011205,2011205,9999
2011206,2011206,9999
2011301,2011301,9999
2011302,2011302,9999
2011303,2011303,9999
2011304,2011304,9999
2011305,2011305,9999
2011306,2011306,9999
2012101,2011101,0
2012102,2011102,0
2012103,2011103,0
2012104,2011104,0
2012105,2011105,0
2012106,2011106,0
2012201,2011201,0
2012202,2011202,0
2012203,2011203,0
2012204,2011204,0
2012205,2011205,0
2012206,2011206,0
2012301,2011301,0
2012302,2011302,0
2012303,2011303,0
2012304,2011304,0
2012305,2011305,0
2012306,2011306,0
2012401,2011301,0
2012402,2011302,0
2012403,2011303,0
2012404,2011304,0
2012405,2011305,0
2012406,2011306,0
2013101,2011101,0
2013102,2011102,0
2013103,2011103,0
2013104,2011104,0
2013105,2011105,0
2013106,2011106,0
2013201,2011201,0
2013202,2011202,0
2013203,2011203,0
2013204,2011204,0
2013205,2011205,0
2013206,2011206,0
2013301,2011301,0
2013302,2011302,0
2013303,2011303,0
2013304,2011304,0
2013305,2011305,0
2013306,2011306,0
2013401,2011301,0
2013402,2011302,0
2013403,2011303,0
2013404,2011304,0
2013405,2011305,0
2013406,2011306,0
2014101,2011101,0
2014102,2011102,0
2014103,2011103,0
2014104,2011104,0
2014105,2011105,0
2014106,2011106,0
2014201,2011201,0
2014202,2011202,0
2014203,2011203,0
2014204,2011204,0
2014205,2011205,0
2014206,2011206,0
2014301,2011301,0
2014302,2011302,0
2014303,2011303,0
2014304,2011304,0
2014305,2011305,0
2014306,2011306,0
2014401,2011301,0
2014402,2011302,0
2014403,2011303,0
2014404,2011304,0
2014405,2011305,0
2014406,2011306,0
2015101,2015401,9999
2015102,2015302,9999
2015103,2015103,9999
2015104,2015104,9999
2015201,2015401,9999
2015202,2015302,9999
2015203,2015203,9999
2015204,2015204,9999
2015301,2015401,9999
2015302,2015302,9999
2015303,2015303,9999
2015304,2015304,9999
2015401,2015401,9999
2015402,2015402,9999
2015403,2015403,9999
2015404,2015404,9999
2016101,2015401,0
2016102,2015302,0
2016103,2015103,0
2016104,2015104,0
2016201,2015401,0
2016202,2015302,0
2016203,2015203,0
2016204,2015204,0
2016301,2015401,0
2016302,2015302,0
2016303,2015303,0
2016304,2015304,0
2016401,2015401,0
2016402,2015402,0
2016403,2015403,0
2016404,2015404,0
2017101,2015401,0
2017102,2015302,0
2017103,2015103,0
2017104,2015104,0
2017201,2015401,0
2017202,2015302,0
2017203,2015203,0
2017204,2015204,0
2017301,2015401,0
2017302,2015302,0
2017303,2015303,0
2017304,2015304,0
2017401,2015401,0
2017402,2015402,0
2017403,2015403,0
2017404,2015404,0
2018101,2015401,0
2018102,2015302,0
2018103,2015103,0
2018104,2015104,0
2018201,2015401,0
2018202,2015302,0
2018203,2015203,0
2018204,2015204,0
2018301,2015401,0
2018302,2015302,0
2018303,2015303,0
2018304,2015304,0
2018401,2015401,0
2018402,2015402,0
2018403,2015403,0
2018404,2015404,0
2031401,2031401,9999
2031402,2031402,9999
2031403,2031403,9999
2031404,2031404,9999
2031405,2031405,9999
2031406,2031406,9999
2032101,2031401,0
2032102,2031402,0
2032103,2031403,0
2032104,2031404,0
2032105,2031405,0
2032106,2031406,0
2032201,2031401,0
2032202,2031402,0
2032203,2031403,0
2032204,2031404,0
2032205,2031405,0
2032206,2031406,0
2032301,2031401,0
2032302,2031402,0
2032303,2031403,0
2032304,2031404,0
2032305,2031405,0
2032306,2031406,0
2032401,2031401,0
2032402,2031402,0
2032403,2031403,0
2032404,2031404,0
2032405,2031405,0
2032406,2031406,0
2033101,2031401,0
2033102,2031402,0
2033103,2031403,0
2033104,2031404,0
2033105,2031405,0
2033106,2031406,0
2033201,2031401,0
2033202,2031402,0
2033203,2031403,0
2033204,2031404,0
2033205,2031405,0
2033206,2031406,0
2033301,2031401,0
2033302,2031402,0
2033303,2031403,0
2033304,2031404,0
2033305,2031405,0
2033306,2031406,0
2033401,2031401,0
2033402,2031402,0
2033403,2031403,0
2033404,2031404,0
