"","x"
"1",4012206
"2",4042205
"3",4016201
"4",4016204
"5",4016204
"6",4016201
"7",4016201
"8",4016204
"9",1012206
"10",4016204
"11",1016204
"12",3012206
"13",3012206
"14",4042205
"15",3012206
"16",4016201
"17",4042205
"18",4012206
"19",4042205
"20",4042205
"21",4012206
"22",1012206
"23",4012206
"24",3012206
"25",4042205
"26",4012206
"27",4012206
"28",3012206
"29",4042205
"30",4042205
"31",4042205
"32",4012206
"33",3012206
"34",4042205
"35",4012206
"36",4042205
"37",4012206
"38",3012206
"39",1052206
"40",1012206
"41",4012206
"42",1012206
"43",4012206
"44",4012206
"45",3012206
"46",4012206
"47",1052206
"48",4012206
"49",4012206
"50",1012206
"51",4012206
"52",4012206
"53",4042205
"54",1012206
"55",3012206
"56",1052206
"57",4012206
"58",4042205
"59",4042205
"60",1012206
"61",4012206
"62",4012206
"63",1012206
"64",4012206
"65",4012206
"66",1052206
"67",4016204
"68",1052206
"69",4042205
"70",4016203
"71",1052206
"72",1012206
"73",1012206
"74",4042205
"75",4042205
"76",4012206
"77",4016204
"78",4012206
"79",1012206
"80",3012206
"81",4012206
"82",4012206
"83",4012206
"84",3012206
"85",4016204
"86",4042205
"87",4042205
"88",4042205
"89",4042205
"90",4012206
"91",4012206
"92",4012206
"93",4012206
"94",4042205
"95",4042205
"96",3012206
"97",1012206
"98",3012206
"99",3012206
"100",3012206
"101",3012206
"102",4042205
"103",4042205
"104",3012206
"105",4012206
"106",3012206
"107",4012206
"108",4016204
"109",3012206
"110",4012206
"111",3012206
"112",4012206
"113",4042205
"114",2032206
"115",3012206
"116",4012206
"117",1012206
"118",4016203
"119",3012206
"120",4016204
"121",2032206
"122",1012206
"123",1012206
"124",4016203
"125",1012206
"126",4042205
"127",4042205
"128",4016203
"129",4012206
"130",1012206
"131",3012206
"132",4012206
"133",4016203
"134",1012206
"135",4016203
"136",4042205
"137",3012206
"138",4012206
"139",2032206
"140",4012206
"141",4016202
"142",2032206
"143",1012206
"144",3012206
"145",4042205
"146",4042205
"147",1012206
"148",4016203
"149",1012206
"150",1012206
"151",1016204
"152",4016203
"153",1012206
"154",4012206
"155",4042205
"156",3012206
"157",4042205
"158",1012206
"159",4042205
"160",4016203
"161",4012206
"162",4042205
"163",4012206
"164",4012206
"165",2032206
"166",1012206
"167",3012206
"168",4042205
"169",1012206
"170",3012206
"171",4042205
"172",1012206
"173",1012206
"174",4042205
"175",4012206
"176",4016201
"177",4016203
"178",3012206
"179",4016203
"180",4042205
"181",4042205
"182",3012206
"183",4012206
"184",4042205
"185",1016201
"186",4016202
"187",4012206
"188",3012206
"189",4016203
"190",4012206
"191",1012206
"192",1012206
"193",4042205
"194",4042205
"195",1012206
"196",4012206
"197",1052206
"198",2012206
"199",4012206
"200",4042205
"201",4012206
"202",1012206
"203",1012206
"204",1052206
"205",4042205
"206",4012206
"207",4012206
"208",4012206
"209",1012206
"210",4042205
"211",4012206
"212",4016202
"213",4042205
"214",2012206
"215",4016202
"216",4012206
"217",4012206
"218",3012206
"219",3012106
"220",4012106
"221",3012106
"222",4012106
"223",4042205
"224",4042205
"225",4042205
"226",1012106
"227",4016202
"228",4042205
"229",3012106
"230",4012106
"231",4042205
"232",1012206
"233",4012206
"234",4042205
"235",4012206
"236",1012206
"237",4012206
"238",4016202
"239",3012106
"240",3012206
"241",4012206
"242",4042205
"243",3012106
"244",4042205
"245",3012206
"246",4042205
"247",4042205
"248",3012106
"249",4012206
"250",1012206
"251",4042205
"252",4042205
"253",4016201
"254",4016201
"255",4042205
"256",3012206
"257",1012206
"258",4042205
"259",4042205
"260",4012206
"261",4012206
"262",4012206
"263",1012206
"264",1012206
"265",4042205
"266",4012106
"267",4042205
"268",1012206
"269",4012206
"270",4012206
"271",4016203
"272",4042205
"273",4016103
"274",4042205
"275",4016203
"276",4012206
