"","x"
"1",678402
"2",678502
"3",678602
"4",682802
"5",682902
"6",683002
"7",683102
"8",687402
"9",691802
"10",691902
"11",692002
"12",696902
"13",697102
"14",697202
"15",697302
"16",697402
"17",702702
"18",703002
"19",703102
"20",708002
"21",708202
"22",713402
"23",713502
"24",713802
"25",713902
"26",714102
"27",718602
"28",718702
"29",718802
"30",718902
"31",723402
"32",723502
"33",723602
"34",728302
"35",728402
"36",728602
"37",728702
"38",729002
"39",729102
"40",733402
"41",733502
"42",733602
"43",738102
"44",738202
"45",738302
"46",743002
"47",743102
"48",747502
"49",747602
"50",747702
"51",747802
"52",747902
"53",748002
"54",753302
"55",753702
"56",753802
"57",758602
"58",758702
"59",758802
"60",762302
"61",762402
"62",766002
"63",766102
"64",771802
"65",780702
"66",780802
"67",785802
"68",786002
"69",792902
"70",796107
"71",796302
"72",800502
"73",800588
"74",800602
"75",800702
"76",804402
"77",804502
"78",804602
"79",804702
"80",807802
"81",807902
"82",811207
"83",812302
"84",812402
"85",812502
"86",816802
"87",816902
"88",817002
"89",817102
"90",821502
"91",821602
"92",821702
"93",827307
"94",827902
"95",828002
"96",835203
"97",835303
"98",839402
"99",839502
"100",839702
"101",843902
"102",844002
"103",844088
"104",844102
"105",844202
"106",844302
"107",844402
"108",848502
"109",848602
"110",848702
"111",852702
"112",852802
"113",853002
"114",854203
"115",858002
"116",858102
"117",858903
"118",864507
"119",865102
"120",865202
"121",866403
"122",870602
"123",870702
"124",875207
"125",875902
"126",876002
"127",881207
"128",881902
"129",882102
"130",882202
"131",887402
"132",887502
"133",887602
"134",889003
"135",891407
"136",891902
"137",892288
"138",892302
"139",893703
"140",896407
"141",897202
"142",899003
"143",902102
"144",908102
"145",912202
"146",912302
"147",917602
"148",923302
"149",923402
"150",923502
"151",923602
"152",927902
"153",928002
"154",928102
"155",928202
"156",928302
"157",932602
"158",932702
"159",932802
"160",933002
"161",933102
"162",933202
"163",937502
"164",937702
"165",939203
"166",942102
"167",942302
"168",942402
"169",942502
"170",970802
"171",970902
"172",971002
"173",976602
"174",976702
"175",976802
"176",976902
"177",977002
"178",981402
"179",990502
"180",994602
"181",998102
"182",1002902
"183",1003002
"184",1003102
"185",1003602
"186",1006707
"187",1007502
"188",1007602
"189",1007702
"190",1010402
"191",1010502
"192",1010802
"193",1018102
"194",1032102
"195",1032202
"196",1032502
"197",1032602
"198",1032702
"199",1037502
"200",1042802
"201",1047502
"202",1052602
"203",1052802
"204",1052902
"205",1053005
"206",1053105
"207",1058002
"208",1058202
"209",1058405
"210",1063502
"211",1063605
"212",1069404
"213",1069502
"214",1069602
"215",1076604
"216",1076704
"217",1077302
"218",1084202
"219",1089504
"220",1089604
