fuelbed,thin,herb,rxfire,eligibility_thinning,eligibility_herbicide,eligibility_rxfire,treatability_thinning,treatability_herbicide,treatability_rxfire,post_1,max_tslt,mfri_shortens,mfri_lengthens_1,mfri_lengthens_2,crown_fire,mfri_lower,mfri_upper,succession_post_1,succession_post_2,succession_max,probability_of_ignition
1011101,1011101,1011101,1011101,1,1,2,1,1,2,1011101,999999999,1011101,1011201,1011201,1011101,1,3,1011102,-1,10,1
1011102,1011102,1011102,1011102,1,1,2,1,1,2,1011102,999999999,1011102,1011202,1011202,1011101,1,3,1011103,-1,20,1
1011103,1011103,1011103,1011103,1,1,2,1,1,2,1011103,999999999,1011103,1011203,1011203,1011101,1,3,1011104,-1,40,1
1011104,1011104,1011104,1011104,1,1,2,1,1,2,1011104,999999999,1011104,1011204,1011204,1011101,1,3,1011105,-1,60,1
1011105,1011105,1011105,1011105,1,1,2,1,1,2,1011105,999999999,1011105,1011205,1011205,1011101,1,3,1011106,-1,100,1
1011106,1011106,1011106,1011106,1,1,2,1,1,2,1011106,999999999,1011106,1011206,1011206,1011101,1,3,-1,-1,999999999,1
1011201,1011201,1011201,1011201,1,1,2,1,1,2,1011201,999999999,1011101,1011301,1051301,1011101,4,8,1011202,-1,10,0.9
1011202,1011202,1011202,1011202,1,1,2,1,1,2,1011202,999999999,1011102,1011302,1051302,1011101,4,8,1011203,-1,20,0.9
1011203,1011203,1011203,1011203,1,1,2,1,1,2,1011203,999999999,1011103,1011303,1051303,1011101,4,8,1011204,-1,40,0.9
1011204,1011204,1011204,1011204,1,1,2,1,1,2,1011204,999999999,1011104,1011304,1051304,1011101,4,8,1011205,-1,60,0.9
1011205,1011205,1011205,1011205,1,1,2,1,1,2,1011205,999999999,1011105,1011305,1051305,1011101,4,8,1011206,-1,100,0.9
1011206,1011206,1011206,1011206,1,1,2,1,1,2,1011206,999999999,1011106,1011306,1051306,1011101,4,8,-1,-1,999999999,0.9
1011301,1011301,1011301,1011301,1,1,1,1,1,2,1011301,999999999,1011201,1031401,1051401,1011101,9,20,1011302,1051302,10,0.75
1011302,1011302,1011302,1011302,1,1,1,1,1,2,1011302,999999999,1011202,1031402,1051402,1011101,9,20,1011303,-1,20,0.75
1011303,1011303,1011303,1011303,1,1,1,1,1,2,1011303,999999999,1011203,1031403,1051403,1011101,9,20,1011304,-1,40,0.75
1011304,1011304,1011304,1011304,1,1,1,1,1,2,1011304,999999999,1011204,1031404,1051404,1011101,9,20,1011305,-1,60,0.75
1011305,1011305,1011305,1011305,1,1,1,1,1,2,1011305,999999999,1011205,1031405,1051405,1011101,9,20,1011306,-1,100,0.75
1011306,1011306,1011306,1011306,1,1,1,1,1,2,1011306,999999999,1011206,1031406,1051406,1011101,9,20,-1,-1,999999999,0.75
1012101,1011101,1011101,1011101,1,1,1,1,1,1,1011101,0,1011101,1011101,1011101,1011101,1,3,-2,-2,10,0.0001
1012102,1011102,1011102,1011102,1,1,1,1,1,1,1011102,0,1011102,1011102,1011102,1011102,1,3,-2,-2,20,0.0001
1012103,1011103,1011103,1011103,1,1,1,1,1,1,1011103,0,1011103,1011103,1011103,1011103,1,3,-2,-2,40,0.0001
1012104,1011104,1011104,1011104,1,1,1,1,1,1,1011104,0,1011104,1011104,1011104,1011104,1,3,-2,-2,60,0.0001
1012105,1011105,1011105,1011105,1,1,1,1,1,1,1011105,0,1011105,1011105,1011105,1011105,1,3,-2,-2,100,0.0001
1012106,1011106,1011106,1011106,1,1,1,1,1,1,1011106,0,1011106,1011106,1011106,1011106,1,3,-2,-2,999999999,0.0001
1012201,1011201,1011201,1011201,1,1,1,1,1,1,1011201,0,1011201,1011201,1011201,1011201,4,8,-2,-2,10,0.0001
1012202,1011202,1011202,1011202,1,1,1,1,1,1,1011202,0,1011202,1011202,1011202,1011202,4,8,-2,-2,20,0.0001
1012203,1011203,1011203,1011203,1,1,1,1,1,1,1011203,0,1011203,1011203,1011203,1011203,4,8,-2,-2,40,0.0001
1012204,1011204,1011204,1011204,1,1,1,1,1,1,1011204,0,1011204,1011204,1011204,1011204,4,8,-2,-2,60,0.0001
1012205,1011205,1011205,1011205,1,1,1,1,1,1,1011205,0,1011205,1011205,1011205,1011205,4,8,-2,-2,100,0.0001
1012206,1011206,1011206,1011206,1,1,1,1,1,1,1011206,0,1011206,1011206,1011206,1011206,4,8,-2,-2,999999999,0.0001
1012301,1011301,1011301,1011301,1,1,1,1,1,1,1011301,0,1011301,1011301,1011301,1011301,9,20,-2,-2,10,0.0001
1012302,1011302,1011302,1011302,1,1,1,1,1,1,1011302,0,1011302,1011302,1011302,1011302,9,20,-2,-2,20,0.0001
1012303,1011303,1011303,1011303,1,1,1,1,1,1,1011303,0,1011303,1011303,1011303,1011303,9,20,-2,-2,40,0.0001
1012304,1011304,1011304,1011304,1,1,1,1,1,1,1011304,0,1011304,1011304,1011304,1011304,9,20,-2,-2,60,0.0001
1012305,1011305,1011305,1011305,1,1,1,1,1,1,1011305,0,1011305,1011305,1011305,1011305,9,20,-2,-2,100,0.0001
1012306,1011306,1011306,1011306,1,1,1,1,1,1,1011306,0,1011306,1011306,1011306,1011306,9,20,-2,-2,999999999,0.0001
1012401,1011301,1011301,1011301,1,1,1,1,1,1,1011301,0,1011301,1011301,1011301,1011301,21,32,-2,-2,10,0.0001
1012402,1011302,1011302,1011302,1,1,1,1,1,1,1011302,0,1011302,1011302,1011302,1011302,21,32,-2,-2,20,0.0001
1012403,1011303,1011303,1011303,1,1,1,1,1,1,1011303,0,1011303,1011303,1011303,1011303,21,32,-2,-2,40,0.0001
1012404,1011304,1011304,1011304,1,1,1,1,1,1,1011304,0,1011304,1011304,1011304,1011304,21,32,-2,-2,60,0.0001
1012405,1011305,1011305,1011305,1,1,1,1,1,1,1011305,0,1011305,1011305,1011305,1011305,21,32,-2,-2,100,0.0001
1012406,1011306,1011306,1011306,1,1,1,1,1,1,1011306,0,1011306,1011306,1011306,1011306,21,32,-2,-2,999999999,0.0001
1013101,1011101,1011101,1011101,1,1,1,1,1,1,1011101,0,1011101,1011101,1011101,1011101,1,3,-2,-2,10,0.0001
1013102,1011102,1011102,1011102,1,1,1,1,1,1,1011102,0,1011102,1011102,1011102,1011102,1,3,-2,-2,20,0.0001
1013103,1011103,1011103,1011103,1,1,1,1,1,1,1011103,0,1011103,1011103,1011103,1011103,1,3,-2,-2,40,0.0001
1013104,1011104,1011104,1011104,1,1,1,1,1,1,1011104,0,1011104,1011104,1011104,1011104,1,3,-2,-2,60,0.0001
1013105,1011105,1011105,1011105,1,1,1,1,1,1,1011105,0,1011105,1011105,1011105,1011105,1,3,-2,-2,100,0.0001
1013106,1011106,1011106,1011106,1,1,1,1,1,1,1011106,0,1011106,1011106,1011106,1011106,1,3,-2,-2,999999999,0.0001
1013201,1011201,1011201,1011201,1,1,1,1,1,1,1011201,0,1011201,1011201,1011201,1011201,4,8,-2,-2,10,0.0001
1013202,1011202,1011202,1011202,1,1,1,1,1,1,1011202,0,1011202,1011202,1011202,1011202,4,8,-2,-2,20,0.0001
1013203,1011203,1011203,1011203,1,1,1,1,1,1,1011203,0,1011203,1011203,1011203,1011203,4,8,-2,-2,40,0.0001
1013204,1011204,1011204,1011204,1,1,1,1,1,1,1011204,0,1011204,1011204,1011204,1011204,4,8,-2,-2,60,0.0001
1013205,1011205,1011205,1011205,1,1,1,1,1,1,1011205,0,1011205,1011205,1011205,1011205,4,8,-2,-2,100,0.0001
1013206,1011206,1011206,1011206,1,1,1,1,1,1,1011206,0,1011206,1011206,1011206,1011206,4,8,-2,-2,999999999,0.0001
1013301,1011301,1011301,1011301,1,1,1,1,1,1,1011301,0,1011301,1011301,1011301,1011301,9,20,-2,-2,10,0.0001
1013302,1011302,1011302,1011302,1,1,1,1,1,1,1011302,0,1011302,1011302,1011302,1011302,9,20,-2,-2,20,0.0001
1013303,1011303,1011303,1011303,1,1,1,1,1,1,1011303,0,1011303,1011303,1011303,1011303,9,20,-2,-2,40,0.0001
1013304,1011304,1011304,1011304,1,1,1,1,1,1,1011304,0,1011304,1011304,1011304,1011304,9,20,-2,-2,60,0.0001
1013305,1011305,1011305,1011305,1,1,1,1,1,1,1011305,0,1011305,1011305,1011305,1011305,9,20,-2,-2,100,0.0001
1013306,1011306,1011306,1011306,1,1,1,1,1,1,1011306,0,1011306,1011306,1011306,1011306,9,20,-2,-2,999999999,0.0001
1013401,1011301,1011301,1011301,1,1,1,1,1,1,1011301,0,1011301,1011301,1011301,1011301,21,32,-2,-2,10,0.0001
1013402,1011302,1011302,1011302,1,1,1,1,1,1,1011302,0,1011302,1011302,1011302,1011302,21,32,-2,-2,20,0.0001
