BurnBlock,Area,Starts,Prob
-9999,1470114,0,0
101,709,0,0
103,2559,0,0
112,833,0,0
115,1480,0,0
121,622,2,0.001226994
132,11674,92,0.056441718
134,786,1,0.000613497
135,4751,72,0.044171779
136,363,0,0
138,512,0,0
142,995,17,0.010429448
144,1820,5,0.003067485
145,3339,7,0.004294479
146,3566,5,0.003067485
153,443,0,0
163,3723,94,0.057668712
164,2393,0,0
171,1349,2,0.001226994
182,1395,0,0
192,295,0,0
200,669,1,0.000613497
203,777,0,0
209,946,1,0.000613497
214,1731,0,0
226,2735,1,0.000613497
250,1814,50,0.030674847
252,7366,4,0.002453988
254,2271,0,0
258,327,0,0
259,2504,0,0
274,5799,15,0.009202454
282,522,1,0.000613497
283,211,1,0.000613497
285,753,0,0
290,1610,2,0.001226994
295,615,0,0
297,2931,3,0.001840491
298,4728,0,0
305,3498,0,0
307,2724,1,0.000613497
328,1379,0,0
329,1967,1,0.000613497
332,1428,23,0.014110429
333,46815,133,0.081595092
336,622,3,0.001840491
337,15862,74,0.045398773
338,720,0,0
346,1545,0,0
349,5082,4,0.002453988
350,645,0,0
351,835,1,0.000613497
352,10207,4,0.002453988
355,1500,57,0.034969325
360,243,0,0
361,483,0,0
362,5897,2,0.001226994
363,2198,0,0
364,500,0,0
365,581,0,0
366,244,0,0
1000,1035,1,0.000613497
1001,1098,0,0
1002,892,0,0
1003,562,0,0
1004,523,0,0
1005,2114,0,0
1006,2543,0,0
1007,545,0,0
1008,1226,0,0
1009,870,0,0
1010,576,0,0
1011,1141,0,0
1012,919,0,0
1013,936,0,0
1014,847,1,0.000613497
1015,406,0,0
1016,498,0,0
1017,756,0,0
1018,708,1,0.000613497
1019,719,0,0
1020,1204,0,0
1021,541,0,0
1022,988,0,0
1023,1004,1,0.000613497
1024,1203,0,0
1025,1258,0,0
1026,781,0,0
1027,885,1,0.000613497
1028,2015,0,0
1029,3186,0,0
1030,1827,0,0
1031,514,0,0
1032,534,0,0
1033,665,0,0
1034,1793,0,0
1035,851,0,0
1036,913,0,0
1037,1003,0,0
1038,705,0,0
1039,872,0,0
1040,2202,1,0.000613497
1041,1617,0,0
1042,834,0,0
1043,1361,0,0
1044,1048,1,0.000613497
1045,2962,3,0.001840491
1046,599,0,0
1047,377,0,0
1048,1023,0,0
1049,1354,0,0
1050,1213,0,0
1051,1612,1,0.000613497
1052,2437,2,0.001226994
1053,1079,0,0
1054,1099,0,0
1055,636,0,0
1056,1767,0,0
1057,955,0,0
1058,1164,1,0.000613497
1059,1573,0,0
1060,583,0,0
1061,918,0,0
1062,451,1,0.000613497
1063,2036,0,0
1064,1133,1,0.000613497
1065,1304,1,0.000613497
1066,1533,1,0.000613497
1067,2242,0,0
1068,697,0,0
1069,881,0,0
1070,826,0,0
1071,1206,0,0
1072,514,0,0
1073,1621,1,0.000613497
1074,802,2,0.001226994
1075,1176,1,0.000613497
1076,1677,0,0
1077,635,0,0
1078,1079,0,0
1079,1263,3,0.001840491
1080,503,2,0.001226994
1081,1286,1,0.000613497
1082,1423,1,0.000613497
1083,1247,0,0
1084,784,1,0.000613497
1085,859,1,0.000613497
1086,688,0,0
1087,1945,0,0
1088,618,0,0
1089,678,0,0
1090,1193,0,0
1091,221,0,0
1092,1456,1,0.000613497
1093,2662,2,0.001226994
1094,1570,0,0
1095,3159,1,0.000613497
1096,939,0,0
1097,546,1,0.000613497
1098,3888,2,0.001226994
1099,977,0,0
1100,636,0,0
1101,791,0,0
1102,1235,0,0
1103,888,1,0.000613497
1104,726,0,0
1105,527,1,0.000613497
1106,1772,1,0.000613497
1107,1070,1,0.000613497
1108,517,1,0.000613497
1109,1024,0,0
1110,1232,0,0
1111,1258,0,0
1112,1205,1,0.000613497
1113,1281,4,0.002453988
1114,1361,0,0
1115,712,1,0.000613497
1116,795,0,0
1117,1043,0,0
1118,2092,0,0
1119,1153,0,0
1120,1117,0,0
1121,5113,0,0
1122,1318,0,0
1123,625,0,0
1124,1688,0,0
1125,1124,0,0
1126,1058,0,0
1127,2190,0,0
1128,2189,2,0.001226994
1129,379,0,0
1130,886,1,0.000613497
1131,886,0,0
1132,2859,0,0
1133,749,1,0.000613497
1134,3935,2,0.001226994
1135,2558,1,0.000613497
1136,1217,0,0
1137,1280,1,0.000613497
1138,794,0,0
1139,793,0,0
1140,812,0,0
1141,1797,0,0
1142,2131,2,0.001226994
1143,675,1,0.000613497
1144,321,0,0
1145,1158,0,0
1146,1389,0,0
1147,2118,0,0
1148,908,1,0.000613497
1149,745,1,0.000613497
1150,2975,0,0
1151,2803,12,0.007361963
1152,2388,1,0.000613497
1153,3619,0,0
1154,3245,0,0
1155,696,1,0.000613497
1156,365,0,0
1157,859,0,0
1158,461,0,0
1159,644,0,0
1160,1017,5,0.003067485
1161,670,0,0
1162,677,0,0
1163,694,0,0
1164,716,0,0
1165,502,1,0.000613497
1166,1002,0,0
1167,1666,0,0
1168,627,0,0
1169,1017,0,0
1170,1001,0,0
1171,1142,0,0
1172,885,0,0
1173,652,0,0
1174,1918,1,0.000613497
1175,908,0,0
1176,1530,1,0.000613497
1177,2088,0,0
1178,990,0,0
1179,1508,0,0
1180,1233,1,0.000613497
1181,919,0,0
1182,1273,0,0
1183,643,2,0.001226994
1184,585,0,0
1185,1721,1,0.000613497
1186,598,0,0
1187,1392,1,0.000613497
1188,371,0,0
1189,1319,0,0
1190,1319,2,0.001226994
1191,1422,0,0
1192,1056,0,0
1193,1487,12,0.007361963
1194,1007,2,0.001226994
1195,1085,0,0
1196,1074,0,0
1197,1320,0,0
1198,1905,1,0.000613497
1199,1312,0,0
1200,1959,3,0.001840491
1201,470,0,0
1202,737,0,0
1203,897,1,0.000613497
1204,890,0,0
1205,684,0,0
1206,874,0,0
1207,977,0,0
1208,1111,8,0.004907975
1209,1153,0,0
1210,961,0,0
1211,824,1,0.000613497
1212,756,0,0
1213,2377,1,0.000613497
1214,1041,2,0.001226994
1215,574,0,0
1216,1266,1,0.000613497
1217,644,0,0
1218,545,4,0.002453988
1219,715,0,0
1220,1103,0,0
1221,2929,3,0.001840491
1222,2267,1,0.000613497
1223,1949,0,0
1224,1444,1,0.000613497
1225,1851,2,0.001226994
1226,1074,1,0.000613497
1227,2696,4,0.002453988
1228,1022,0,0
1229,760,6,0.003680982
1230,1084,2,0.001226994
1231,1471,3,0.001840491
1232,1219,0,0
1233,1655,9,0.005521472
1234,420,10,0.006134969
1235,1133,0,0
1236,903,0,0
1237,814,1,0.000613497
1238,1091,1,0.000613497
1239,1300,2,0.001226994
1240,1446,1,0.000613497
1241,793,0,0
1242,683,0,0
1243,2152,0,0
1244,1178,1,0.000613497
1245,3439,2,0.001226994
1246,1052,2,0.001226994
1247,573,0,0
1248,720,0,0
1249,1481,0,0
1250,680,0,0
1251,1623,2,0.001226994
1252,1323,1,0.000613497
1253,1420,0,0
1254,1439,0,0
1255,980,0,0
1256,682,0,0
1257,1337,0,0
1258,1006,0,0
1259,2452,2,0.001226994
1260,877,0,0
1261,925,0,0
1262,660,0,0
1263,1354,0,0
1264,1079,0,0
1265,388,0,0
1266,549,0,0
1267,682,1,0.000613497
1268,804,0,0
1269,1023,0,0
1270,540,0,0
1271,1106,1,0.000613497
1272,447,0,0
1273,2040,1,0.000613497
1274,600,0,0
1275,1648,1,0.000613497
1276,1145,0,0
1277,807,0,0
1278,1415,0,0
1279,414,0,0
1280,1008,0,0
1281,1001,2,0.001226994
1282,587,1,0.000613497
1283,891,1,0.000613497
1284,540,0,0
1285,417,0,0
1286,1076,0,0
1287,1030,0,0
1288,511,0,0
1289,976,0,0
1290,1992,0,0
1291,1439,1,0.000613497
1292,802,1,0.000613497
1293,580,0,0
1294,1679,1,0.000613497
1295,823,0,0
1296,750,0,0
1297,677,0,0
1298,1013,0,0
1299,2549,1,0.000613497
1300,344,0,0
1301,603,0,0
1302,3721,0,0
1303,1498,1,0.000613497
1304,1187,1,0.000613497
1305,1157,0,0
1306,544,0,0
1307,868,0,0
1308,772,0,0
1309,832,0,0
1310,557,0,0
1311,790,2,0.001226994
1312,3127,24,0.014723926
1313,910,0,0
1314,341,1,0.000613497
1315,2312,6,0.003680982
1316,2407,2,0.001226994
1317,680,0,0
1318,1640,2,0.001226994
1319,1164,1,0.000613497
1320,1391,0,0
1321,1194,0,0
1322,1422,0,0
1323,612,0,0
1324,642,0,0
1325,776,1,0.000613497
1326,972,1,0.000613497
1327,1965,1,0.000613497
1328,2921,6,0.003680982
1329,3452,2,0.001226994
1330,2612,1,0.000613497
1331,634,1,0.000613497
1332,870,0,0
1333,1525,0,0
1334,1206,1,0.000613497
1335,625,1,0.000613497
1336,504,0,0
1337,705,0,0
1338,641,0,0
1339,807,0,0
1340,7756,5,0.003067485
1341,1581,5,0.003067485
1342,667,5,0.003067485
1343,428,4,0.002453988
1344,531,0,0
1345,478,0,0
1346,2709,7,0.004294479
1347,1430,0,0
1348,347,0,0
1349,808,0,0
1350,830,0,0
1351,459,0,0
1352,701,0,0
1353,1153,0,0
1354,541,0,0
1355,2821,1,0.000613497
1356,676,0,0
1357,1360,0,0
1358,417,0,0
1359,1201,0,0
1360,612,1,0.000613497
1361,1010,1,0.000613497
1362,553,0,0
1363,636,0,0
1364,685,0,0
1365,829,0,0
1366,1091,0,0
1367,1732,3,0.001840491
1368,1580,1,0.000613497
1369,719,0,0
1370,1315,1,0.000613497
1371,1350,0,0
1372,920,0,0
1373,3388,0,0
1374,1188,0,0
1375,805,0,0
1376,1189,0,0
1377,832,2,0.001226994
1378,2014,0,0
1379,265,0,0
1380,1198,0,0
1381,2158,0,0
1382,868,1,0.000613497
1383,568,0,0
1384,1222,0,0
1385,679,0,0
1386,1907,0,0
1387,847,0,0
1388,1441,0,0
1389,1981,0,0
1390,2212,0,0
1391,1403,0,0
1392,1704,0,0
1393,326,0,0
1394,449,0,0
1395,632,0,0
1396,946,1,0.000613497
1397,1739,0,0
1398,781,0,0
1399,829,1,0.000613497
1400,1280,2,0.001226994
1401,723,0,0
1402,802,0,0
1403,444,0,0
1404,1855,0,0
1405,3372,3,0.001840491
1406,4104,2,0.001226994
1407,1213,0,0
1408,1183,0,0
1409,558,0,0
1410,2980,1,0.000613497
1411,1691,0,0
1412,1041,2,0.001226994
1413,834,0,0
1414,1368,1,0.000613497
1415,1700,1,0.000613497
1416,1068,1,0.000613497
1417,2819,0,0
1418,3548,1,0.000613497
1419,2247,1,0.000613497
1420,1262,0,0
